class,carbsn1,dbonsn1,carbsn2,dbonsn2,host,relax,buff,c0,tol,tslope,slopetol,npln,est,temp,press,ref,remarks
PE,12,0,12,0,,TS,H2O,-0.0220,0.0020,,,TRUE,FALSE,35,0,https://doi.org/10.1039/c9sm02352f,
PE,14,0,14,0,,TS,H2O,-0.0314,0.0006,,,TRUE,FALSE,80,0,https://doi.org/10.1107/S1600576719002760,
PE,16,0,16,0,,,20 mM Na3PO4; 130 mM NaCl; pH 7.4,-0.0380,0.0190,,,TRUE,FALSE,35,0,https://doi.org/10.1039/c9sm02352f,
PE,20,0,20,0,,,H2O,-0.0358,,,,FALSE,TRUE,99,0,https://doi.org/10.1016/0005-2736(95)00296-0,
PE,16,0,18,1,DOPE,TS,H2O,-0.0317,0.0007,,,TRUE,FALSE,35,0,https://doi.org/10.1107/S1600576719002760,
PE,16,0,18,1,DOPE,,20 mM Na3PO4; 130 mM NaCl; pH 7.4,-0.0350,0.007,,,TRUE,FALSE,35,0,https://doi.org/10.1016/j.bpj.2018.03.006,
PE,16,0,18,1,DOPE,TS,H2O,-0.0316,0.0007,-2.70E-04,7.00E-05,TRUE,FALSE,37,0,https://doi.org/10.1039/c3sm51829a,
PE,16,1,16,1,,TS,H2O,-0.0382,0.0009,,,FALSE,FALSE,35,0,https://doi.org/10.1107/S1600576719002760,
PE,16,1,16,1,,TS,H2O,-0.0370,0.001,-1.70E-04,,FALSE,FALSE,35,0,https://doi.org/10.1016/j.bbamem.2021.183709,
PE,18,1,18,1,,TD,2 mM TES; pH 7.4,-0.0353,0.0025,-1.70E-04,,FALSE,FALSE,8,0,https://doi.org/10.1016/S0006-3495(96)79381-5,
PE,18,1,18,1,,,H2O,-0.0342,,,,FALSE,TRUE,10,0,https://doi.org/10.1016/0005-2736(95)00296-0,
PE,18,1,18,1,,TD,H2O; pH 7.2,-0.0333,,,,FALSE,FALSE,20,0,https://doi.org/10.1016/s0006-3495(03)74596-2,
PE,18,1,18,1,,TD,0.013 M HCl and 0.087 M KCl; pH 2,-0.0385,,,,FALSE,FALSE,20,0,https://doi.org/10.1016/s0006-3495(03)74596-2,
PE,18,1,18,1,,TD,10 mM HEPES,-0.0331,0.0009,-1.70E-04,,FALSE,FALSE,20,0,https://doi.org/10.1039/C5SM00577A,
PE,18,1,18,1,,TD,10 mM CaCl2; 10 mM HEPES,-0.0340,0.0009,-1.80E-04,,FALSE,FALSE,20,0,https://doi.org/10.1039/C5SM00577A,
