eid,sp,sid,depth_col,temp_col,do_col,tissue,wild,mass,lat,lon,remarks,remarks2
JWL0001,Horm_cali,V3994-D7,271.240,8.039,1.672,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0002,Horm_cali,D914-T1,100.100,10.179,3.049,whole,TRUE,#N/A,#N/A,#N/A,,"mass_coef is ""mass per sample"", used to normalize ratios to mass standard per sample"
JWL0003,Horm_cali,D919-D11,215.190,8.166,1.876,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0004,Bero_pseu,D914-BW1,10.000,12.974,5.363,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0005,Bero_pseu,D914-BW1,10.000,12.974,5.363,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0006,Cydi_redx,D914-D5,632.140,5.386,0.217,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0007,Cydi_redx,V3994-D3,871.320,4.460,0.313,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0008,Verm_loba,D918-D12,1461.400,2.839,0.842,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0009,Verm_loba,V3976-SS2,977.790,3.954,0.463,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0010,Tjal_pink,D1021-BT,3977.530,1.520,2.794,whole,TRUE,#N/A,35.5,-124,,
JWL0011,Tjal_pink,D1021-BT,3977.530,1.520,2.794,whole,TRUE,#N/A,35.5,-124,,
JWL0012,Mert_ovum,SEB180630-1,65.000,5.720,6.988,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0012B,Mert_ovum,SEB180630-1,65.000,5.720,6.988,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0013,Bero_cucu,SVA180611-2,8.750,-1.110,7.165,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0014,Bero_cucu,SVA180618-1,8.750,1.110,7.165,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0015,Bero_cucu,SVA180614-1,8.600,0.560,7.165,whole,TRUE,#N/A,79.15,11.75,,
JWL0016,Bero_cucu,SEB180630-3,47.000,6.180,8.203,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0017,Mert_ovum,GRL180623-4,8.600,-3.330,8.354,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0018,Bero_cucu,SEB180630-4,47.000,6.180,8.203,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0019,Bero_cucu,SEB180701-3,47.000,6.160,8.161,whole,TRUE,#N/A,#N/A,#N/A,,
JWL0020,Bero_cucu,SEB180701-4,50.000,5.740,8.058,whole,TRUE,#N/A,#N/A,#N/A,,
