sp,press,z,press_lat
Boli_infu,1,-37.81,0
Boli_infu,1,-37.43,0
Boli_infu,1,-37.05,0
Boli_infu,1,-36.67,-23.2908
Boli_infu,1,-36.29,-19.618
Boli_infu,1,-35.91,15.756
Boli_infu,1,-35.53,6.456
Boli_infu,1,-35.15,1.847
Boli_infu,1,-34.77,-11.272
Boli_infu,1,-34.39,8.967
Boli_infu,1,-34.01,2.14
Boli_infu,1,-33.63,1.925
Boli_infu,1,-33.25,5.668
Boli_infu,1,-32.87,10.58
Boli_infu,1,-32.49,12.317
Boli_infu,1,-32.11,3.914
Boli_infu,1,-31.73,-0.895
Boli_infu,1,-31.35,7.302
Boli_infu,1,-30.97,15.135
Boli_infu,1,-30.59,16.145
Boli_infu,1,-30.21,21.114
Boli_infu,1,-29.83,11.262
Boli_infu,1,-29.45,31.081
Boli_infu,1,-29.07,34.549
Boli_infu,1,-28.69,35.924
Boli_infu,1,-28.31,48.567
Boli_infu,1,-27.93,41.918
Boli_infu,1,-27.55,25.76
Boli_infu,1,-27.17,33.76
Boli_infu,1,-26.79,55.798
Boli_infu,1,-26.41,53.05
Boli_infu,1,-26.03,42.305
Boli_infu,1,-25.65,52.555
Boli_infu,1,-25.27,50.042
Boli_infu,1,-24.89,36.91
Boli_infu,1,-24.51,44.603
Boli_infu,1,-24.13,35.835
Boli_infu,1,-23.75,40.051
Boli_infu,1,-23.37,36.962
Boli_infu,1,-22.99,-5.814
Boli_infu,1,-22.61,-8.422
Boli_infu,1,-22.23,22.246
Boli_infu,1,-21.85,39.127
Boli_infu,1,-21.47,30.123
Boli_infu,1,-21.09,14.291
Boli_infu,1,-20.71,14.686
Boli_infu,1,-20.33,4.318
Boli_infu,1,-19.95,21.655
Boli_infu,1,-19.57,36.83
Boli_infu,1,-19.19,-41.114
Boli_infu,1,-18.81,-70.061
Boli_infu,1,-18.43,-84.196
Boli_infu,1,-18.05,-141.527
Boli_infu,1,-17.67,-143.429
Boli_infu,1,-17.29,-191.945
Boli_infu,1,-16.91,-237.765
Boli_infu,1,-16.53,-281.429
Boli_infu,1,-16.15,-273.639
Boli_infu,1,-15.77,-221.669
Boli_infu,1,-15.39,-207.426
Boli_infu,1,-15.01,-178.047
Boli_infu,1,-14.63,-141.284
Boli_infu,1,-14.25,-104.941
Boli_infu,1,-13.87,-74.406
Boli_infu,1,-13.49,-31.854
Boli_infu,1,-13.11,-6.205
Boli_infu,1,-12.73,12.091
Boli_infu,1,-12.35,42.498
Boli_infu,1,-11.97,69.625
Boli_infu,1,-11.59,54.702
Boli_infu,1,-11.21,41.373
Boli_infu,1,-10.83,50.968
Boli_infu,1,-10.45,49.074
Boli_infu,1,-10.07,56.438
Boli_infu,1,-9.69,79.288
Boli_infu,1,-9.31,97.534
Boli_infu,1,-8.93,109.533
Boli_infu,1,-8.55,92.903
Boli_infu,1,-8.17,93.724
Boli_infu,1,-7.79,110.104
Boli_infu,1,-7.41,96.14
Boli_infu,1,-7.03,83.957
Boli_infu,1,-6.65,89.396
Boli_infu,1,-6.27,102.295
Boli_infu,1,-5.89,92.8
Boli_infu,1,-5.51,74.627
Boli_infu,1,-5.13,56.395
Boli_infu,1,-4.75,42.356
Boli_infu,1,-4.37,37.581
Boli_infu,1,-3.99,43.043
Boli_infu,1,-3.61,68.445
Boli_infu,1,-3.23,84.008
Boli_infu,1,-2.85,88.243
Boli_infu,1,-2.47,104.506
Boli_infu,1,-2.09,144.316
Boli_infu,1,-1.71,169.285
Boli_infu,1,-1.33,190.046
Boli_infu,1,-0.95,218.606
Boli_infu,1,-0.57,214.299
Boli_infu,1,-0.19,221.741
Boli_infu,1,0.19,221.487
Boli_infu,1,0.57,208.837
Boli_infu,1,0.95,200.753
Boli_infu,1,1.33,189.713
Boli_infu,1,1.71,161.071
Boli_infu,1,2.09,122.076
Boli_infu,1,2.47,101.448
Boli_infu,1,2.85,93.515
Boli_infu,1,3.23,78.019
Boli_infu,1,3.61,55.306
Boli_infu,1,3.99,43.985
Boli_infu,1,4.37,49.647
Boli_infu,1,4.75,52.724
Boli_infu,1,5.13,52.903
Boli_infu,1,5.51,61.598
Boli_infu,1,5.89,75.433
Boli_infu,1,6.27,85.429
Boli_infu,1,6.65,77.98
Boli_infu,1,7.03,86.927
Boli_infu,1,7.41,111.861
Boli_infu,1,7.79,107.418
Boli_infu,1,8.17,89.461
Boli_infu,1,8.55,79.792
Boli_infu,1,8.93,68.183
Boli_infu,1,9.31,69.175
Boli_infu,1,9.69,77.979
Boli_infu,1,10.07,70.604
Boli_infu,1,10.45,56.034
Boli_infu,1,10.83,54.475
Boli_infu,1,11.21,35.904
Boli_infu,1,11.59,32.702
Boli_infu,1,11.97,36.516
Boli_infu,1,12.35,18.893
Boli_infu,1,12.73,3.1
Boli_infu,1,13.11,-18.259
Boli_infu,1,13.49,-48.871
Boli_infu,1,13.87,-59.064
Boli_infu,1,14.25,-81.367
Boli_infu,1,14.63,-133.229
Boli_infu,1,15.01,-170.869
Boli_infu,1,15.39,-192.465
Boli_infu,1,15.77,-219.806
Boli_infu,1,16.15,-237.398
Boli_infu,1,16.53,-241.167
Boli_infu,1,16.91,-229.962
Boli_infu,1,17.29,-182.524
Boli_infu,1,17.67,-186.312
Boli_infu,1,18.05,-136.24
Boli_infu,1,18.43,-72.238
Boli_infu,1,18.81,-61.595
Boli_infu,1,19.19,-33.243
Boli_infu,1,19.57,-9.563
Boli_infu,1,19.95,9.724
Boli_infu,1,20.33,13.837
Boli_infu,1,20.71,8.301
Boli_infu,1,21.09,16.082
Boli_infu,1,21.47,14.14
Boli_infu,1,21.85,14.046
Boli_infu,1,22.23,31.361
Boli_infu,1,22.61,19.633
Boli_infu,1,22.99,13.199
Boli_infu,1,23.37,4.329
Boli_infu,1,23.75,23.349
Boli_infu,1,24.13,49.809
Boli_infu,1,24.51,44.028
Boli_infu,1,24.89,36.9
Boli_infu,1,25.27,28.906
Boli_infu,1,25.65,61.142
Boli_infu,1,26.03,65.909
Boli_infu,1,26.41,45.795
Boli_infu,1,26.79,36.547
Boli_infu,1,27.17,37.512
Boli_infu,1,27.55,45.174
Boli_infu,1,27.93,37.987
Boli_infu,1,28.31,47.287
Boli_infu,1,28.69,31.269
Boli_infu,1,29.07,22.094
Boli_infu,1,29.45,10.68
Boli_infu,1,29.83,23.892
Boli_infu,1,30.21,27.412
Boli_infu,1,30.59,9.932
Boli_infu,1,30.97,5.63
Boli_infu,1,31.35,13.04
Boli_infu,1,31.73,18.668
