### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  6.80893540E-01  2.60156039E-02
1.19839541E-02  6.43878818E-01  2.48937923E-02
1.23035262E-02  5.43784142E-01  2.28771716E-02
1.26230983E-02  5.44092238E-01  2.09732149E-02
1.29426704E-02  5.00666618E-01  2.08249874E-02
1.32622425E-02  4.70103592E-01  1.87591761E-02
1.35818146E-02  4.27435070E-01  1.78875998E-02
1.39013867E-02  3.91437322E-01  1.73331369E-02
1.42209588E-02  3.86214912E-01  1.59543920E-02
1.45405309E-02  3.68189871E-01  1.64004806E-02
1.48601030E-02  3.50267023E-01  1.43595478E-02
1.51796751E-02  3.25160712E-01  1.47193335E-02
1.54992472E-02  3.20934087E-01  1.40334414E-02
1.58188193E-02  2.67471850E-01  1.23244245E-02
1.61383915E-02  2.61524677E-01  1.26560656E-02
1.64579636E-02  2.61685908E-01  1.18096955E-02
1.67775357E-02  2.57562727E-01  1.18171480E-02
1.70971078E-02  2.31806532E-01  1.11527974E-02
1.74166799E-02  2.12459818E-01  1.01054534E-02
1.77362520E-02  2.07460582E-01  1.02330074E-02
1.80558241E-02  2.13841230E-01  9.98104364E-03
1.83753962E-02  2.01447368E-01  1.01095717E-02
1.86949683E-02  1.91022024E-01  9.38755181E-03
1.90145404E-02  1.88934207E-01  9.20607243E-03
1.93341125E-02  1.74268663E-01  8.91529489E-03
1.96536846E-02  1.66033372E-01  8.32994748E-03
1.99732568E-02  1.64387569E-01  8.72084498E-03
2.02928289E-02  1.65593237E-01  7.72809610E-03
2.06124010E-02  1.41720399E-01  7.30902329E-03
2.09319731E-02  1.54498905E-01  7.41882809E-03
2.12515452E-02  1.46609634E-01  6.76566130E-03
2.15711173E-02  1.36119097E-01  6.69966079E-03
2.18906894E-02  1.37099251E-01  6.22307928E-03
2.22102615E-02  1.20972611E-01  6.19209372E-03
2.25298336E-02  1.30928546E-01  6.10631797E-03
2.28494057E-02  1.19383514E-01  5.92262438E-03
2.31689778E-02  1.21790454E-01  5.80157060E-03
2.34885499E-02  1.23470500E-01  5.69208618E-03
2.38081220E-02  1.09295942E-01  5.50560700E-03
2.41276942E-02  1.12287164E-01  5.48392069E-03
2.44472663E-02  1.00706987E-01  5.42208599E-03
2.47668384E-02  1.03830934E-01  5.53108426E-03
2.50864105E-02  9.88028124E-02  5.50112454E-03
2.54059826E-02  8.75841454E-02  5.46441833E-03
2.57255547E-02  9.46362540E-02  5.53061673E-03
2.60451268E-02  9.94969010E-02  5.57396235E-03
2.63646989E-02  8.67461413E-02  5.37311379E-03
2.66842710E-02  8.96955207E-02  5.36758499E-03
2.70038431E-02  8.73861909E-02  5.43211214E-03
2.73234152E-02  8.30503106E-02  5.36084222E-03
2.76429873E-02  7.56525546E-02  5.14717912E-03
2.79625595E-02  8.90411884E-02  5.35924640E-03
2.82821316E-02  7.60469437E-02  4.84003313E-03
2.86017037E-02  7.41372928E-02  4.74750670E-03
2.89212758E-02  7.77716190E-02  4.58734203E-03
2.92408479E-02  6.98227361E-02  4.54162899E-03
2.95604200E-02  6.76493794E-02  4.45090281E-03
2.98799921E-02  6.84255883E-02  4.26831096E-03
3.01995642E-02  7.23850951E-02  4.35075164E-03
3.05191363E-02  6.29678071E-02  4.03938675E-03
3.08387084E-02  6.35231137E-02  4.14545042E-03
3.11582805E-02  6.44130409E-02  4.10811603E-03
3.14778526E-02  5.74338771E-02  4.07179957E-03
3.17974247E-02  5.89566492E-02  3.90465604E-03
3.21169969E-02  6.02705553E-02  3.88723100E-03
3.24365690E-02  6.34605214E-02  3.97686800E-03
3.27561411E-02  5.38985804E-02  3.79778375E-03
3.30757132E-02  5.88577576E-02  3.78881721E-03
3.33952853E-02  5.97442687E-02  3.84158501E-03
3.37148574E-02  5.82036190E-02  3.77064501E-03
3.40344295E-02  5.65700717E-02  3.75426584E-03
3.43540016E-02  5.91690801E-02  3.69187421E-03
3.46735737E-02  4.93283048E-02  3.57171264E-03
3.49931458E-02  5.15569486E-02  3.55576142E-03
3.53127179E-02  5.32863550E-02  3.60593828E-03
3.56322900E-02  5.20912930E-02  3.58893047E-03
3.59518622E-02  5.27271964E-02  3.44333448E-03
3.62714343E-02  4.84448858E-02  3.47027509E-03
3.65910064E-02  5.19960597E-02  3.47754196E-03
3.69105785E-02  5.35673834E-02  3.51612992E-03
3.72301506E-02  4.89696749E-02  3.38070607E-03
3.75497227E-02  5.00250906E-02  3.41669167E-03
3.78692948E-02  5.64961359E-02  3.24417581E-03
3.81888669E-02  4.87848669E-02  3.26118828E-03
3.85084390E-02  4.48240377E-02  3.11451918E-03
3.88280111E-02  4.49926443E-02  3.08944401E-03
3.91475832E-02  4.51249741E-02  3.06063634E-03
3.94671553E-02  4.70000803E-02  3.14698345E-03
3.97867274E-02  4.56419885E-02  3.12096789E-03
