### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  7.40348101E-01  2.64073424E-02
1.19839541E-02  6.43883824E-01  2.42328867E-02
1.23035262E-02  6.04667246E-01  2.34833304E-02
1.26230983E-02  6.02916300E-01  2.14916449E-02
1.29426704E-02  5.41738331E-01  2.10871343E-02
1.32622425E-02  4.78809237E-01  1.84293762E-02
1.35818146E-02  4.84484106E-01  1.85382701E-02
1.39013867E-02  4.16746050E-01  1.74098164E-02
1.42209588E-02  4.28430498E-01  1.63575523E-02
1.45405309E-02  3.82817000E-01  1.62937474E-02
1.48601030E-02  3.52552772E-01  1.40237967E-02
1.51796751E-02  3.60528111E-01  1.50876315E-02
1.54992472E-02  3.36618006E-01  1.39773013E-02
1.58188193E-02  2.99099773E-01  1.27186878E-02
1.61383915E-02  2.83223569E-01  1.28340581E-02
1.64579636E-02  2.74182022E-01  1.17554562E-02
1.67775357E-02  2.60845870E-01  1.15390541E-02
1.70971078E-02  2.68981487E-01  1.17058959E-02
1.74166799E-02  2.55617172E-01  1.07824076E-02
1.77362520E-02  2.53097147E-01  1.09936642E-02
1.80558241E-02  2.41671741E-01  1.03235524E-02
1.83753962E-02  2.04662189E-01  9.86966025E-03
1.86949683E-02  2.15573192E-01  9.70822666E-03
1.90145404E-02  2.27331474E-01  9.78219789E-03
1.93341125E-02  2.11528450E-01  9.54544917E-03
1.96536846E-02  1.97823286E-01  8.79349932E-03
1.99732568E-02  1.95780993E-01  9.17781238E-03
2.02928289E-02  1.89844921E-01  8.05019587E-03
2.06124010E-02  1.88691810E-01  8.08850583E-03
2.09319731E-02  1.81137294E-01  7.73655903E-03
2.12515452E-02  1.75231233E-01  7.12928921E-03
2.15711173E-02  1.62112430E-01  6.98659150E-03
2.18906894E-02  1.75169393E-01  6.72648242E-03
2.22102615E-02  1.63078234E-01  6.85874699E-03
2.25298336E-02  1.73644111E-01  6.71205856E-03
2.28494057E-02  1.51177496E-01  6.32259948E-03
2.31689778E-02  1.51165500E-01  6.23852899E-03
2.34885499E-02  1.39937326E-01  5.85662015E-03
2.38081220E-02  1.37608856E-01  5.91846090E-03
2.41276942E-02  1.41871005E-01  5.92074264E-03
2.44472663E-02  1.41146287E-01  6.06287597E-03
2.47668384E-02  1.36271611E-01  6.01637131E-03
2.50864105E-02  1.30562663E-01  5.95518993E-03
2.54059826E-02  1.20189629E-01  6.01766538E-03
2.57255547E-02  1.18137710E-01  5.86401485E-03
2.60451268E-02  1.20661616E-01  5.77539345E-03
2.63646989E-02  1.21788837E-01  5.99170709E-03
2.66842710E-02  1.16504639E-01  5.82523178E-03
2.70038431E-02  1.07311256E-01  5.72394347E-03
2.73234152E-02  9.91218984E-02  5.48019167E-03
2.76429873E-02  9.85378698E-02  5.46307676E-03
2.79625595E-02  9.75752100E-02  5.36076538E-03
2.82821316E-02  1.02227554E-01  5.20679727E-03
2.86017037E-02  9.37474892E-02  4.96204011E-03
2.89212758E-02  9.57636163E-02  4.72898083E-03
2.92408479E-02  1.02728292E-01  4.95828828E-03
2.95604200E-02  1.01838276E-01  4.95900260E-03
2.98799921E-02  9.55642536E-02  4.66182828E-03
3.01995642E-02  9.48359966E-02  4.62010363E-03
3.05191363E-02  8.98707062E-02  4.38520452E-03
3.08387084E-02  9.40049887E-02  4.55413340E-03
3.11582805E-02  9.09914747E-02  4.43012640E-03
3.14778526E-02  9.50054973E-02  4.52342257E-03
3.17974247E-02  9.14031342E-02  4.30161366E-03
3.21169969E-02  9.03413445E-02  4.23220452E-03
3.24365690E-02  8.63662139E-02  4.23777662E-03
3.27561411E-02  9.36936662E-02  4.32748673E-03
3.30757132E-02  8.35761204E-02  4.04400565E-03
3.33952853E-02  8.75398889E-02  4.12225397E-03
3.37148574E-02  8.39653611E-02  4.05290397E-03
3.40344295E-02  9.48152021E-02  4.24782932E-03
3.43540016E-02  7.63027072E-02  3.76765803E-03
3.46735737E-02  8.66540149E-02  3.93479411E-03
3.49931458E-02  8.48054886E-02  3.91387753E-03
3.53127179E-02  7.86695257E-02  3.87403509E-03
3.56322900E-02  7.44318068E-02  3.82374856E-03
3.59518622E-02  7.95019567E-02  3.74371605E-03
3.62714343E-02  8.11721459E-02  3.80626973E-03
3.65910064E-02  7.33954310E-02  3.63168260E-03
3.69105785E-02  7.27913380E-02  3.67651018E-03
3.72301506E-02  7.54968300E-02  3.67139466E-03
3.75497227E-02  7.71388263E-02  3.68198007E-03
3.78692948E-02  8.03668424E-02  3.47066019E-03
3.81888669E-02  7.19545484E-02  3.42282746E-03
3.85084390E-02  7.54152089E-02  3.33894161E-03
3.88280111E-02  7.31410831E-02  3.30561888E-03
3.91475832E-02  7.54380897E-02  3.30903241E-03
3.94671553E-02  7.37687424E-02  3.37103801E-03
3.97867274E-02  7.20423236E-02  3.35142133E-03
4.01062996E-02  6.73702657E-02  3.18781845E-03
4.04258717E-02  7.25307763E-02  3.25026759E-03
4.07454438E-02  6.91812262E-02  3.14718578E-03
4.10650159E-02  6.80656508E-02  3.17480532E-03
4.13845880E-02  6.76721185E-02  3.12221586E-03
4.17041601E-02  7.29380772E-02  3.15355347E-03
4.20237322E-02  7.04307556E-02  3.16140638E-03
4.23433043E-02  6.89071864E-02  3.11788567E-03
4.26628764E-02  6.44041970E-02  3.07969167E-03
4.29824485E-02  6.84937388E-02  3.00071994E-03
4.33020206E-02  6.76894262E-02  3.07612401E-03
4.36215927E-02  7.25139454E-02  3.06710158E-03
4.39411649E-02  6.52953684E-02  2.94938544E-03
4.42607370E-02  6.81280866E-02  3.01910006E-03
4.45803091E-02  6.43102303E-02  2.94201309E-03
4.48998812E-02  7.14450479E-02  3.01817781E-03
4.52194533E-02  6.44374043E-02  2.94359680E-03
4.55390254E-02  6.36165962E-02  2.91665085E-03
4.58585975E-02  6.42911345E-02  2.88884249E-03
4.61781696E-02  6.67727739E-02  2.91540194E-03
4.64977417E-02  6.43555298E-02  2.89454963E-03
4.68173138E-02  6.53233379E-02  2.92515848E-03
4.71368859E-02  5.91813363E-02  2.77757202E-03
4.74564580E-02  6.32555932E-02  2.85354233E-03
4.77760301E-02  6.13495260E-02  2.82959035E-03
4.80956023E-02  6.41511530E-02  2.87026260E-03
4.84151744E-02  6.78900778E-02  2.89377850E-03
4.87347465E-02  6.63511306E-02  2.83854641E-03
4.90543186E-02  6.28416240E-02  2.82930117E-03
4.93738907E-02  6.50588498E-02  2.83977925E-03
4.96934628E-02  6.07277900E-02  2.79152580E-03
5.00130349E-02  6.23938851E-02  2.73143011E-03
5.03326070E-02  6.32537007E-02  2.78735487E-03
5.06521791E-02  6.19028285E-02  2.79239146E-03
5.09717512E-02  5.93449622E-02  2.74955947E-03
5.12913233E-02  5.97091354E-02  2.68267281E-03
5.16108954E-02  6.16941303E-02  2.72137672E-03
5.19304676E-02  6.38145879E-02  2.77795619E-03
5.22500397E-02  5.66284396E-02  2.68815551E-03
5.25696118E-02  6.33154660E-02  2.73328112E-03
5.28891839E-02  5.94121628E-02  2.67498451E-03
5.32087560E-02  6.21466823E-02  2.69735116E-03
5.35283281E-02  5.99520169E-02  2.67293118E-03
5.38479002E-02  6.01549894E-02  2.69051245E-03
5.41674723E-02  5.65948486E-02  2.62307958E-03
5.44870444E-02  6.06089421E-02  2.70221988E-03
5.48066165E-02  6.31036535E-02  2.67113047E-03
5.51261886E-02  5.99446185E-02  2.66174157E-03
5.54457607E-02  5.78053296E-02  2.61794589E-03
