### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  7.82782435E-01  2.69604605E-02
1.19839541E-02  7.29161501E-01  2.56043244E-02
1.23035262E-02  6.96794450E-01  2.50295959E-02
1.26230983E-02  6.40439630E-01  2.19927877E-02
1.29426704E-02  5.80991983E-01  2.16824282E-02
1.32622425E-02  5.61531782E-01  1.98160261E-02
1.35818146E-02  5.05588531E-01  1.88030396E-02
1.39013867E-02  5.04765451E-01  1.90240629E-02
1.42209588E-02  4.56220210E-01  1.67596694E-02
1.45405309E-02  4.40857977E-01  1.73453242E-02
1.48601030E-02  4.14097041E-01  1.50905345E-02
1.51796751E-02  3.86540234E-01  1.55113256E-02
1.54992472E-02  3.66175592E-01  1.44743612E-02
1.58188193E-02  3.38268697E-01  1.33817028E-02
1.61383915E-02  3.20975959E-01  1.35636888E-02
1.64579636E-02  3.29919666E-01  1.28033664E-02
1.67775357E-02  3.05771142E-01  1.24005908E-02
1.70971078E-02  3.01761121E-01  1.23192780E-02
1.74166799E-02  2.85444468E-01  1.12831835E-02
1.77362520E-02  2.60744601E-01  1.10679213E-02
1.80558241E-02  2.49488294E-01  1.03953304E-02
1.83753962E-02  2.56999791E-01  1.10282581E-02
1.86949683E-02  2.30404824E-01  9.91502777E-03
1.90145404E-02  2.31497392E-01  9.77368932E-03
1.93341125E-02  2.17341289E-01  9.55864135E-03
1.96536846E-02  2.34935477E-01  9.48864408E-03
1.99732568E-02  1.99719161E-01  9.17332340E-03
2.02928289E-02  1.95103869E-01  8.10030103E-03
2.06124010E-02  1.90374374E-01  8.03700183E-03
2.09319731E-02  1.94570661E-01  7.96194375E-03
2.12515452E-02  1.76129118E-01  7.09570851E-03
2.15711173E-02  1.88425153E-01  7.44128693E-03
2.18906894E-02  1.71683937E-01  6.63113873E-03
2.22102615E-02  1.72428533E-01  6.97480701E-03
2.25298336E-02  1.73689142E-01  6.63114386E-03
2.28494057E-02  1.62629023E-01  6.48219790E-03
2.31689778E-02  1.54857308E-01  6.21224940E-03
2.34885499E-02  1.51201010E-01  5.97780850E-03
2.38081220E-02  1.48034185E-01  6.03499776E-03
2.41276942E-02  1.45687580E-01  5.92459599E-03
2.44472663E-02  1.42347202E-01  6.02242909E-03
2.47668384E-02  1.30580530E-01  5.88323921E-03
