### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  1.56377232E+00  4.89396267E-02
1.19839541E-02  1.42959893E+00  4.60442789E-02
1.23035262E-02  1.34506893E+00  4.46622819E-02
1.26230983E-02  1.22951496E+00  3.91358919E-02
1.29426704E-02  1.19187701E+00  3.98846418E-02
1.32622425E-02  1.08192194E+00  3.53260040E-02
1.35818146E-02  1.08884287E+00  3.54388170E-02
1.39013867E-02  1.00878882E+00  3.45402732E-02
1.42209588E-02  1.00029206E+00  3.18719558E-02
1.45405309E-02  9.35408890E-01  3.24489735E-02
1.48601030E-02  9.04350102E-01  2.86410544E-02
1.51796751E-02  8.12108159E-01  2.88752411E-02
1.54992472E-02  7.67245293E-01  2.69084685E-02
1.58188193E-02  7.97197640E-01  2.63833925E-02
1.61383915E-02  7.19115913E-01  2.60508209E-02
1.64579636E-02  6.90878987E-01  2.37951372E-02
1.67775357E-02  7.12702394E-01  2.42747404E-02
1.70971078E-02  6.39117301E-01  2.29874514E-02
1.74166799E-02  6.47378981E-01  2.18355376E-02
1.77362520E-02  6.01494789E-01  2.15507876E-02
1.80558241E-02  5.89812756E-01  2.05097981E-02
1.83753962E-02  5.13471544E-01  1.99265368E-02
1.86949683E-02  4.94539797E-01  1.86386686E-02
1.90145404E-02  5.11149824E-01  1.86026469E-02
1.93341125E-02  5.05207300E-01  1.86985601E-02
1.96536846E-02  4.76549476E-01  1.72862653E-02
1.99732568E-02  4.56071019E-01  1.77929420E-02
2.02928289E-02  4.25620288E-01  1.52787650E-02
2.06124010E-02  4.33421552E-01  1.54990721E-02
2.09319731E-02  4.42335755E-01  1.52802356E-02
2.12515452E-02  4.10436630E-01  1.38201108E-02
2.15711173E-02  3.77052695E-01  1.34487553E-02
2.18906894E-02  3.87771785E-01  1.26948981E-02
2.22102615E-02  3.70052367E-01  1.30425422E-02
2.25298336E-02  3.41057539E-01  1.18956687E-02
2.28494057E-02  3.48386854E-01  1.20777208E-02
2.31689778E-02  3.38029146E-01  1.16905794E-02
2.34885499E-02  3.31899732E-01  1.12199988E-02
2.38081220E-02  3.01485986E-01  1.09495353E-02
2.41276942E-02  2.84517169E-01  1.05224699E-02
2.44472663E-02  2.81912833E-01  1.07857399E-02
2.47668384E-02  2.93103635E-01  1.11081973E-02
2.50864105E-02  2.66524076E-01  1.06502399E-02
2.54059826E-02  2.67650574E-01  1.10741835E-02
2.57255547E-02  2.61951864E-01  1.08269909E-02
2.60451268E-02  2.28053018E-01  9.97771416E-03
2.63646989E-02  2.33797476E-01  1.04168896E-02
2.66842710E-02  2.30775490E-01  1.01339733E-02
2.70038431E-02  2.13422686E-01  1.00861527E-02
2.73234152E-02  2.08113596E-01  9.85156372E-03
2.76429873E-02  2.22223118E-01  9.98440757E-03
2.79625595E-02  2.12531775E-01  9.64299962E-03
2.82821316E-02  2.10606471E-01  9.28604044E-03
2.86017037E-02  1.99342355E-01  8.95922352E-03
2.89212758E-02  1.99046433E-01  8.45608488E-03
2.92408479E-02  1.86152205E-01  8.33736733E-03
2.95604200E-02  1.81282192E-01  8.19812156E-03
2.98799921E-02  1.80047587E-01  7.94639159E-03
3.01995642E-02  1.76515102E-01  7.87257031E-03
3.05191363E-02  1.69791430E-01  7.48639461E-03
3.08387084E-02  1.59212783E-01  7.50011299E-03
3.11582805E-02  1.59597337E-01  7.28779472E-03
3.14778526E-02  1.59725830E-01  7.38756498E-03
3.17974247E-02  1.47188827E-01  6.91742031E-03
3.21169969E-02  1.56186461E-01  7.03542633E-03
3.24365690E-02  1.55233935E-01  7.03593064E-03
3.27561411E-02  1.34394124E-01  6.67502638E-03
3.30757132E-02  1.28775358E-01  6.44896133E-03
3.33952853E-02  1.34100512E-01  6.56642020E-03
3.37148574E-02  1.25288218E-01  6.34647394E-03
3.40344295E-02  1.43278718E-01  6.66110869E-03
3.43540016E-02  1.28341839E-01  6.21838495E-03
3.46735737E-02  1.28278121E-01  6.18535280E-03
3.49931458E-02  1.30153835E-01  6.23538485E-03
3.53127179E-02  1.20713912E-01  6.16115052E-03
3.56322900E-02  1.24574780E-01  6.19695615E-03
3.59518622E-02  1.17804483E-01  5.84828202E-03
3.62714343E-02  1.19384319E-01  6.06454723E-03
3.65910064E-02  1.09359749E-01  5.72056556E-03
3.69105785E-02  1.06259979E-01  5.70232142E-03
3.72301506E-02  1.09042712E-01  5.71123417E-03
3.75497227E-02  1.02307439E-01  5.59614645E-03
3.78692948E-02  9.32257175E-02  5.12015214E-03
3.81888669E-02  1.00651294E-01  5.29585639E-03
3.85084390E-02  1.10547349E-01  5.29316021E-03
3.88280111E-02  9.84120741E-02  5.12566743E-03
3.91475832E-02  9.44194198E-02  5.03992336E-03
3.94671553E-02  9.66958329E-02  5.09999087E-03
3.97867274E-02  8.99864733E-02  5.05463080E-03
4.01062996E-02  9.15134475E-02  4.94368235E-03
4.04258717E-02  8.96028504E-02  4.90000611E-03
4.07454438E-02  8.85736346E-02  4.81515378E-03
4.10650159E-02  9.74120423E-02  4.96014999E-03
4.13845880E-02  8.30306038E-02  4.69876314E-03
4.17041601E-02  8.58273581E-02  4.77696443E-03
4.20237322E-02  7.93712735E-02  4.69514448E-03
4.23433043E-02  8.29506665E-02  4.70220484E-03
4.26628764E-02  8.41439068E-02  4.71430970E-03
4.29824485E-02  8.20920393E-02  4.51964233E-03
4.33020206E-02  7.62679502E-02  4.53227991E-03
4.36215927E-02  8.29172432E-02  4.56413813E-03
4.39411649E-02  8.23907480E-02  4.54879412E-03
4.42607370E-02  7.78034851E-02  4.51808004E-03
4.45803091E-02  8.91104341E-02  4.53166896E-03
4.48998812E-02  8.09093788E-02  4.44919197E-03
4.52194533E-02  7.17432797E-02  4.37629921E-03
4.55390254E-02  8.05861205E-02  4.44572186E-03
4.58585975E-02  7.70987719E-02  4.40728525E-03
4.61781696E-02  7.32968450E-02  4.32255073E-03
4.64977417E-02  7.66966492E-02  4.32365481E-03
4.68173138E-02  7.24519342E-02  4.32135677E-03
4.71368859E-02  7.36897066E-02  4.22334578E-03
4.74564580E-02  7.41080567E-02  4.31232248E-03
4.77760301E-02  7.54109770E-02  4.32092277E-03
4.80956023E-02  7.72748813E-02  4.35805973E-03
4.84151744E-02  7.29552284E-02  4.28401679E-03
4.87347465E-02  7.06080794E-02  4.16463893E-03
4.90543186E-02  7.78096318E-02  4.34122840E-03
4.93738907E-02  7.62916729E-02  4.26591747E-03
4.96934628E-02  7.62473196E-02  4.30452917E-03
5.00130349E-02  8.33332911E-02  4.25625127E-03
5.03326070E-02  7.77860209E-02  4.25120955E-03
5.06521791E-02  7.99110606E-02  4.29741107E-03
5.09717512E-02  8.19466934E-02  4.30790288E-03
5.12913233E-02  8.48076567E-02  4.21763258E-03
5.16108954E-02  7.90826827E-02  4.15513944E-03
5.19304676E-02  7.56594092E-02  4.21578996E-03
5.22500397E-02  7.85394832E-02  4.23161127E-03
5.25696118E-02  8.23047981E-02  4.21154639E-03
5.28891839E-02  8.40627253E-02  4.16905945E-03
5.32087560E-02  8.55291113E-02  4.24478063E-03
5.35283281E-02  8.76497850E-02  4.29305248E-03
5.38479002E-02  8.86175856E-02  4.28383565E-03
5.41674723E-02  8.85029435E-02  4.19483567E-03
5.44870444E-02  8.81715491E-02  4.28306637E-03
5.48066165E-02  9.59761590E-02  4.25770087E-03
5.51261886E-02  8.27655792E-02  4.17904928E-03
5.54457607E-02  8.61732215E-02  4.13134275E-03
5.57653328E-02  9.09734517E-02  4.14941553E-03
5.60849050E-02  9.75665376E-02  4.32489719E-03
5.64044771E-02  1.00228906E-01  4.30643978E-03
5.67240492E-02  9.37171802E-02  4.24549915E-03
5.70436213E-02  9.57283527E-02  4.15132195E-03
5.73631934E-02  9.17628780E-02  4.17441037E-03
5.76827655E-02  9.34364572E-02  4.16614814E-03
5.80023376E-02  9.75567997E-02  4.16077813E-03
5.83219097E-02  1.02157407E-01  4.29116469E-03
5.86414818E-02  1.04805976E-01  4.22242470E-03
5.89610539E-02  1.04930528E-01  4.25673835E-03
5.92806260E-02  1.10290654E-01  4.33556456E-03
5.96001981E-02  1.12151191E-01  4.30666003E-03
5.99197703E-02  1.06468827E-01  4.19652462E-03
6.02393424E-02  1.15955368E-01  4.31748107E-03
6.05589145E-02  1.15646794E-01  4.34471201E-03
6.08784866E-02  1.06671080E-01  4.26079519E-03
6.11980587E-02  1.12818144E-01  4.26456379E-03
6.15176308E-02  1.17710561E-01  4.34388965E-03
6.18372029E-02  1.20386116E-01  4.26295539E-03
6.21567750E-02  1.19933255E-01  4.31788620E-03
6.24763471E-02  1.22484706E-01  4.35092207E-03
6.27959192E-02  1.25353128E-01  4.33898997E-03
6.31154913E-02  1.30813450E-01  4.38678404E-03
6.34350634E-02  1.31041497E-01  4.41323034E-03
6.37546355E-02  1.28960416E-01  4.42858087E-03
6.40742077E-02  1.24463938E-01  4.22007777E-03
6.43937798E-02  1.32602215E-01  4.40388173E-03
6.47133519E-02  1.38912216E-01  4.43109265E-03
6.50329240E-02  1.33239105E-01  4.36076242E-03
6.53524961E-02  1.41160414E-01  4.49692318E-03
6.56720682E-02  1.32520005E-01  4.27159434E-03
6.59916403E-02  1.37916178E-01  4.42410214E-03
6.63112124E-02  1.41019508E-01  4.47869254E-03
6.66307845E-02  1.46798790E-01  4.47814493E-03
6.69503566E-02  1.38424426E-01  4.35334770E-03
6.72699287E-02  1.55216858E-01  4.52005677E-03
6.75895008E-02  1.51117042E-01  4.50057443E-03
6.79090730E-02  1.52285978E-01  4.58818907E-03
6.82286451E-02  1.59458518E-01  4.49784147E-03
6.85482172E-02  1.56244010E-01  4.50231927E-03
6.88677893E-02  1.52729601E-01  4.46839444E-03
6.91873614E-02  1.57046482E-01  4.55826940E-03
6.95069335E-02  1.52902454E-01  4.41164430E-03
6.98265056E-02  1.61994278E-01  4.52582026E-03
7.01460777E-02  1.63728863E-01  4.63808049E-03
7.04656498E-02  1.67060718E-01  4.56571719E-03
7.07852219E-02  1.68380901E-01  4.64701653E-03
7.11047940E-02  1.75160363E-01  4.58877999E-03
7.14243661E-02  1.67253688E-01  4.64081066E-03
7.17439382E-02  1.82640314E-01  4.75632260E-03
7.20635104E-02  1.73356786E-01  4.61446680E-03
7.23830825E-02  1.76373601E-01  4.66115354E-03
7.27026546E-02  1.80484563E-01  4.62821033E-03
7.30222267E-02  1.87570468E-01  4.79174452E-03
