### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  3.15912157E-01  2.21182741E-02
1.19839541E-02  2.87890136E-01  2.07766797E-02
1.23035262E-02  2.39908487E-01  1.89664308E-02
1.26230983E-02  2.68277705E-01  1.83820873E-02
1.29426704E-02  2.28063107E-01  1.75433159E-02
1.32622425E-02  2.29745850E-01  1.63687151E-02
1.35818146E-02  2.34410807E-01  1.65340640E-02
1.39013867E-02  2.11647362E-01  1.59083903E-02
1.42209588E-02  1.81740716E-01  1.36604691E-02
1.45405309E-02  1.78685158E-01  1.42606273E-02
1.48601030E-02  1.64165854E-01  1.22703314E-02
1.51796751E-02  1.58824384E-01  1.28401900E-02
1.54992472E-02  1.55531973E-01  1.21822041E-02
1.58188193E-02  1.39489233E-01  1.10971676E-02
1.61383915E-02  1.20227233E-01  1.07106930E-02
1.64579636E-02  9.86074507E-02  9.03933030E-03
1.67775357E-02  1.22887202E-01  1.01355650E-02
1.70971078E-02  1.13691591E-01  9.74897388E-03
1.74166799E-02  1.16778784E-01  9.31996200E-03
1.77362520E-02  1.10078350E-01  9.27026942E-03
1.80558241E-02  9.44644287E-02  8.25339556E-03
1.83753962E-02  1.11639820E-01  9.33579076E-03
1.86949683E-02  1.06538899E-01  8.69886484E-03
1.90145404E-02  9.30954665E-02  7.98287056E-03
1.93341125E-02  9.72635001E-02  8.24978296E-03
1.96536846E-02  1.05242424E-01  8.16839654E-03
1.99732568E-02  6.99737892E-02  6.99737947E-03
2.02928289E-02  8.12064558E-02  6.69779582E-03
2.06124010E-02  7.49009997E-02  6.47046091E-03
2.09319731E-02  7.73863569E-02  6.42658724E-03
2.12515452E-02  7.23759830E-02  5.83222322E-03
2.15711173E-02  6.98846728E-02  5.80360601E-03
2.18906894E-02  6.64597750E-02  5.27060265E-03
2.22102615E-02  6.20504543E-02  5.36034303E-03
2.25298336E-02  6.89677447E-02  5.36913145E-03
2.28494057E-02  6.92742914E-02  5.39299659E-03
2.31689778E-02  6.48686588E-02  5.12831751E-03
2.34885499E-02  6.05642684E-02  4.80305916E-03
2.38081220E-02  5.35831228E-02  4.61170124E-03
2.41276942E-02  5.83117940E-02  4.76113800E-03
2.44472663E-02  5.62683679E-02  4.80733113E-03
2.47668384E-02  6.18621558E-02  5.08503802E-03
2.50864105E-02  6.36796877E-02  5.18217916E-03
2.54059826E-02  5.43061197E-02  4.97823395E-03
2.57255547E-02  5.95926046E-02  5.12891449E-03
2.60451268E-02  5.19559458E-02  4.72326763E-03
2.63646989E-02  4.97186333E-02  4.74048546E-03
2.66842710E-02  5.44155799E-02  4.86707734E-03
2.70038431E-02  5.41787371E-02  5.00882603E-03
2.73234152E-02  4.16364707E-02  4.31750063E-03
2.76429873E-02  4.23770845E-02  4.32509324E-03
2.79625595E-02  4.51052114E-02  4.38100519E-03
2.82821316E-02  5.03816940E-02  4.45315475E-03
2.86017037E-02  4.70416360E-02  4.24160156E-03
2.89212758E-02  4.92864922E-02  4.10720753E-03
2.92408479E-02  4.29390110E-02  3.91977746E-03
2.95604200E-02  4.30031233E-02  3.89331975E-03
2.98799921E-02  4.36248891E-02  3.78275756E-03
3.01995642E-02  4.93576564E-02  4.01666900E-03
3.05191363E-02  5.14718741E-02  3.94771248E-03
3.08387084E-02  5.17314263E-02  4.07700753E-03
3.11582805E-02  4.18128781E-02  3.59867956E-03
3.14778526E-02  4.27124314E-02  3.64916935E-03
3.17974247E-02  4.15651426E-02  3.47585184E-03
3.21169969E-02  4.01197225E-02  3.37868999E-03
3.24365690E-02  4.16590720E-02  3.49595165E-03
3.27561411E-02  4.28361148E-02  3.48595367E-03
3.30757132E-02  4.54325490E-02  3.54768592E-03
3.33952853E-02  5.14008962E-02  3.77906905E-03
3.37148574E-02  4.49325219E-02  3.48744006E-03
3.40344295E-02  4.24135886E-02  3.41778435E-03
3.43540016E-02  4.39320877E-02  3.34009458E-03
3.46735737E-02  4.00845371E-02  3.19909421E-03
3.49931458E-02  4.11713608E-02  3.22478986E-03
3.53127179E-02  3.82551737E-02  3.15523357E-03
3.56322900E-02  3.94252166E-02  3.17697460E-03
3.59518622E-02  4.25222218E-02  3.20523302E-03
3.62714343E-02  4.04858738E-02  3.18087079E-03
3.65910064E-02  3.62965204E-02  2.95376894E-03
3.69105785E-02  3.62205692E-02  2.97731254E-03
3.72301506E-02  4.75923494E-02  3.37373232E-03
3.75497227E-02  3.44805606E-02  2.85363151E-03
3.78692948E-02  3.84944044E-02  2.83016497E-03
3.81888669E-02  3.90751585E-02  2.89644348E-03
3.85084390E-02  3.88863981E-02  2.81372108E-03
3.88280111E-02  4.08889391E-02  2.86984094E-03
3.91475832E-02  4.05431837E-02  2.84557347E-03
3.94671553E-02  3.32080722E-02  2.61716265E-03
3.97867274E-02  3.99592407E-02  2.86154076E-03
4.01062996E-02  3.84078585E-02  2.72952765E-03
4.04258717E-02  3.44575457E-02  2.58270232E-03
4.07454438E-02  3.58978212E-02  2.60430155E-03
4.10650159E-02  3.27667966E-02  2.50573969E-03
4.13845880E-02  4.11452800E-02  2.75529176E-03
4.17041601E-02  3.47847864E-02  2.52355379E-03
4.20237322E-02  4.04062122E-02  2.74929451E-03
4.23433043E-02  3.69102433E-02  2.59699579E-03
4.26628764E-02  3.95920053E-02  2.70015257E-03
4.29824485E-02  3.98752689E-02  2.61231558E-03
4.33020206E-02  3.93618830E-02  2.65377760E-03
4.36215927E-02  4.16568145E-02  2.69455533E-03
4.39411649E-02  3.69286574E-02  2.51851371E-03
4.42607370E-02  3.50784659E-02  2.46811216E-03
4.45803091E-02  3.81573327E-02  2.53259111E-03
4.48998812E-02  3.84873264E-02  2.53228005E-03
4.52194533E-02  3.66067253E-02  2.48502637E-03
4.55390254E-02  3.47511098E-02  2.42122472E-03
4.58585975E-02  3.41872498E-02  2.37617828E-03
4.61781696E-02  3.90907004E-02  2.52329395E-03
4.64977417E-02  3.87734771E-02  2.52393843E-03
4.68173138E-02  3.71247977E-02  2.48050480E-03
4.71368859E-02  3.61530259E-02  2.38386006E-03
4.74564580E-02  3.31047028E-02  2.31213262E-03
4.77760301E-02  3.66049707E-02  2.41892459E-03
4.80956023E-02  3.52643654E-02  2.38840422E-03
4.84151744E-02  3.73673178E-02  2.45858892E-03
4.87347465E-02  3.73879001E-02  2.39843479E-03
4.90543186E-02  3.96520905E-02  2.50281766E-03
4.93738907E-02  3.49773243E-02  2.33702082E-03
4.96934628E-02  3.80723923E-02  2.45245849E-03
5.00130349E-02  3.85991000E-02  2.40774569E-03
5.03326070E-02  3.97850350E-02  2.47212173E-03
5.06521791E-02  3.66694108E-02  2.38697533E-03
5.09717512E-02  3.51553895E-02  2.33334512E-03
5.12913233E-02  3.81430238E-02  2.37468095E-03
5.16108954E-02  3.56856026E-02  2.29871180E-03
5.19304676E-02  3.68666090E-02  2.37972941E-03
5.22500397E-02  3.51413041E-02  2.31212797E-03
5.25696118E-02  3.99798304E-02  2.43309513E-03
5.28891839E-02  3.29482034E-02  2.19168188E-03
5.32087560E-02  4.17126007E-02  2.46221689E-03
5.35283281E-02  3.81686799E-02  2.36258190E-03
5.38479002E-02  3.91169898E-02  2.40293774E-03
5.41674723E-02  3.86149734E-02  2.34569260E-03
5.44870444E-02  4.02131826E-02  2.43828236E-03
5.48066165E-02  3.98150273E-02  2.38366332E-03
5.51261886E-02  4.00921106E-02  2.41764518E-03
5.54457607E-02  4.23639826E-02  2.44588568E-03
5.57653328E-02  4.05274257E-02  2.36763759E-03
5.60849050E-02  3.83071937E-02  2.34876480E-03
5.64044771E-02  4.12088409E-02  2.40334845E-03
5.67240492E-02  4.09142151E-02  2.41089333E-03
5.70436213E-02  4.04880680E-02  2.34935596E-03
5.73631934E-02  3.77889015E-02  2.30832468E-03
5.76827655E-02  3.66236418E-02  2.25402950E-03
5.80023376E-02  4.09873351E-02  2.34692800E-03
5.83219097E-02  4.28275540E-02  2.44828849E-03
5.86414818E-02  4.20172065E-02  2.35620793E-03
5.89610539E-02  3.95117588E-02  2.32422096E-03
5.92806260E-02  3.99430655E-02  2.33349879E-03
5.96001981E-02  4.24384922E-02  2.39494257E-03
5.99197703E-02  4.37448435E-02  2.40081013E-03
6.02393424E-02  4.38344963E-02  2.39493418E-03
6.05589145E-02  4.35825996E-02  2.40644650E-03
6.08784866E-02  4.25738283E-02  2.39876355E-03
6.11980587E-02  4.50306162E-02  2.41737021E-03
6.15176308E-02  4.49936949E-02  2.43654498E-03
6.18372029E-02  4.73641567E-02  2.45571719E-03
6.21567750E-02  4.43897322E-02  2.39682035E-03
6.24763471E-02  4.84714657E-02  2.50975741E-03
6.27959192E-02  4.39323448E-02  2.38607754E-03
6.31154913E-02  4.95350622E-02  2.51476187E-03
6.34350634E-02  4.51888777E-02  2.40516127E-03
6.37546355E-02  4.67166305E-02  2.46560946E-03
6.40742077E-02  4.77254465E-02  2.41357950E-03
6.43937798E-02  4.58366945E-02  2.41580582E-03
6.47133519E-02  5.46693169E-02  2.62421113E-03
6.50329240E-02  5.00233211E-02  2.48875329E-03
6.53524961E-02  5.16698882E-02  2.55804067E-03
6.56720682E-02  4.87342328E-02  2.41566612E-03
6.59916403E-02  4.61038351E-02  2.40988610E-03
6.63112124E-02  5.29558249E-02  2.56571802E-03
6.66307845E-02  4.83361967E-02  2.42898520E-03
6.69503566E-02  5.06852679E-02  2.47613736E-03
6.72699287E-02  5.75277694E-02  2.63125892E-03
6.75895008E-02  5.19859493E-02  2.51577632E-03
6.79090730E-02  5.31503856E-02  2.57212739E-03
6.82286451E-02  5.33538163E-02  2.49306019E-03
6.85482172E-02  5.55180423E-02  2.57182354E-03
6.88677893E-02  5.08348532E-02  2.46875873E-03
6.91873614E-02  5.20041473E-02  2.50495155E-03
6.95069335E-02  5.64072430E-02  2.55868444E-03
6.98265056E-02  5.41696027E-02  2.51205522E-03
7.01460777E-02  5.76223023E-02  2.63008615E-03
7.04656498E-02  5.65714911E-02  2.54527177E-03
7.07852219E-02  6.25109673E-02  2.72044051E-03
7.11047940E-02  6.07112050E-02  2.60536722E-03
7.14243661E-02  5.73992617E-02  2.61175679E-03
7.17439382E-02  5.87729104E-02  2.61019659E-03
7.20635104E-02  5.75525053E-02  2.56105303E-03
7.23830825E-02  5.91350012E-02  2.61342246E-03
7.27026546E-02  6.03451505E-02  2.59444071E-03
7.30222267E-02  6.32166639E-02  2.70542339E-03
7.33417988E-02  6.29105568E-02  2.65372172E-03
7.36613709E-02  6.31345212E-02  2.65844283E-03
7.39809430E-02  6.53819367E-02  2.71016848E-03
7.43005151E-02  6.33112192E-02  2.62208283E-03
7.46200872E-02  6.71082065E-02  2.77221436E-03
7.49396593E-02  7.32645020E-02  2.83045461E-03
7.52592314E-02  6.81251436E-02  2.72937631E-03
7.55788035E-02  6.99142069E-02  2.78766197E-03
7.58983757E-02  6.58422783E-02  2.67245551E-03
7.62179478E-02  7.13940784E-02  2.83542089E-03
7.65375199E-02  7.16142505E-02  2.77917180E-03
7.68570920E-02  7.30553195E-02  2.79743294E-03
7.71766641E-02  7.89484605E-02  2.91801896E-03
7.74962362E-02  7.65904710E-02  2.86432123E-03
7.78158083E-02  7.54744262E-02  2.87118251E-03
7.81353804E-02  7.72250518E-02  2.85042869E-03
7.84549525E-02  8.41376781E-02  3.01068276E-03
7.87745246E-02  8.22265819E-02  2.97290855E-03
7.90940967E-02  8.53571519E-02  2.99176667E-03
7.94136688E-02  8.54521170E-02  2.99509498E-03
7.97332409E-02  8.49192366E-02  2.95471819E-03
8.00528131E-02  8.64124969E-02  3.02875647E-03
8.03723852E-02  8.87673572E-02  3.06458957E-03
8.06919573E-02  9.47932750E-02  3.14236642E-03
8.10115294E-02  9.84046981E-02  3.18764080E-03
8.13311015E-02  9.50972214E-02  3.12508852E-03
8.16506736E-02  1.00457087E-01  3.21720168E-03
8.19702457E-02  9.95035768E-02  3.22662457E-03
8.22898178E-02  1.06993601E-01  3.24670528E-03
8.26093899E-02  1.05403133E-01  3.29545746E-03
8.29289620E-02  1.14118308E-01  3.42526217E-03
8.32485341E-02  1.11023813E-01  3.35666095E-03
8.35681062E-02  1.15043387E-01  3.39687802E-03
8.38876784E-02  1.15676269E-01  3.38472077E-03
8.42072505E-02  1.19186848E-01  3.46672675E-03
8.45268226E-02  1.29175991E-01  3.59377242E-03
8.48463947E-02  1.33009464E-01  3.68194492E-03
8.51659668E-02  1.29852682E-01  3.56195518E-03
8.54855389E-02  1.36746392E-01  3.65339639E-03
8.58051110E-02  1.49073213E-01  3.86065315E-03
8.61246831E-02  1.44029215E-01  3.71881831E-03
8.64442552E-02  1.53272927E-01  3.91466310E-03
8.67638273E-02  1.66229740E-01  3.98505293E-03
8.70833994E-02  1.80422947E-01  4.23383433E-03
8.74029715E-02  1.77538812E-01  4.18230705E-03
8.77225436E-02  1.90127105E-01  4.28579561E-03
8.80421158E-02  1.95138469E-01  4.33748169E-03
8.83616879E-02  2.01214597E-01  4.35370347E-03
8.86812600E-02  2.26723701E-01  4.68493393E-03
8.90008321E-02  2.30679229E-01  4.75248601E-03
8.93204042E-02  2.48057023E-01  4.80060419E-03
8.96399763E-02  2.58781224E-01  4.97472240E-03
8.99595484E-02  2.92912602E-01  5.21150604E-03
9.02791205E-02  3.23810309E-01  5.60463732E-03
9.05986926E-02  3.60311121E-01  5.75192412E-03
9.09182647E-02  3.82057816E-01  5.97841712E-03
9.12378368E-02  4.26559180E-01  6.35806238E-03
9.15574089E-02  4.47759867E-01  6.45613577E-03
9.18769811E-02  4.80140567E-01  6.67893374E-03
9.21965532E-02  5.11240125E-01  6.80867163E-03
9.25161253E-02  5.20462155E-01  6.94690924E-03
9.28356974E-02  5.57422817E-01  7.20350491E-03
9.31552695E-02  5.68408370E-01  7.27414712E-03
9.34748416E-02  5.84602118E-01  7.28084100E-03
9.37944137E-02  6.04644060E-01  7.35187298E-03
9.41139858E-02  6.20651484E-01  7.55656883E-03
9.44335579E-02  6.70451701E-01  7.78595591E-03
9.47531300E-02  6.96328223E-01  7.98848365E-03
9.50727021E-02  7.49220431E-01  8.16834718E-03
9.53922742E-02  8.18773866E-01  8.53909273E-03
9.57118463E-02  9.07281876E-01  9.06602200E-03
9.60314185E-02  9.98257637E-01  9.56025906E-03
9.63509906E-02  1.12809885E+00  9.92082711E-03
9.66705627E-02  1.36377752E+00  1.10413758E-02
9.69901348E-02  1.66142857E+00  1.20286047E-02
9.73097069E-02  2.07571244E+00  1.36154005E-02
9.76292790E-02  2.63370872E+00  1.52290938E-02
9.79488511E-02  3.29306865E+00  1.68957543E-02
9.82684232E-02  3.97270346E+00  1.87564939E-02
9.85879953E-02  4.61599684E+00  1.98945049E-02
9.89075674E-02  4.92842007E+00  2.08327007E-02
9.92271395E-02  4.91708231E+00  2.05986444E-02
9.95467116E-02  4.49321079E+00  1.98362712E-02
9.98662838E-02  3.91993666E+00  1.84849221E-02
1.00185856E-01  3.21317673E+00  1.65910050E-02
1.00505428E-01  2.57046247E+00  1.48865432E-02
1.00825000E-01  2.09449649E+00  1.31586278E-02
1.01144572E-01  1.69198036E+00  1.21165235E-02
1.01464144E-01  1.42560792E+00  1.10661965E-02
1.01783716E-01  1.19436204E+00  1.00787356E-02
1.02103289E-01  1.03145039E+00  9.34099313E-03
1.02422861E-01  8.77875626E-01  8.48198961E-03
1.02742433E-01  7.75833547E-01  8.12313240E-03
1.03062005E-01  6.98040903E-01  7.72602251E-03
1.03381577E-01  6.21005058E-01  7.15882750E-03
1.03701149E-01  5.52832365E-01  6.79614907E-03
1.04020721E-01  5.01680911E-01  6.42600004E-03
1.04340293E-01  4.66020912E-01  6.28439616E-03
1.04659865E-01  4.20928717E-01  5.91977267E-03
1.04979437E-01  3.84150982E-01  5.58916572E-03
1.05299010E-01  3.70228857E-01  5.55183692E-03
1.05618582E-01  3.36799592E-01  5.24015306E-03
1.05938154E-01  3.12477559E-01  5.10273734E-03
1.06257726E-01  2.99632907E-01  4.91929147E-03
1.06577298E-01  2.79019654E-01  4.75724554E-03
1.06896870E-01  2.69254655E-01  4.66526067E-03
1.07216442E-01  2.60809749E-01  4.59545432E-03
1.07536014E-01  2.46586949E-01  4.45695687E-03
1.07855586E-01  2.29243666E-01  4.30471310E-03
1.08175159E-01  2.25551739E-01  4.28091362E-03
1.08494731E-01  2.14716047E-01  4.18763887E-03
1.08814303E-01  2.08534911E-01  4.05400107E-03
1.09133875E-01  2.00504169E-01  3.99018219E-03
1.09453447E-01  1.94521487E-01  3.89276608E-03
1.09773019E-01  1.80466115E-01  3.80964275E-03
1.10092591E-01  1.78892404E-01  3.78655968E-03
1.10412163E-01  1.74267963E-01  3.68455099E-03
1.10731735E-01  1.69413805E-01  3.65707581E-03
1.11051308E-01  1.65192112E-01  3.59623507E-03
1.11370880E-01  1.60541311E-01  3.55706085E-03
1.11690452E-01  1.55464575E-01  3.50622414E-03
1.12010024E-01  1.53319970E-01  3.41132446E-03
1.12329596E-01  1.49955750E-01  3.40808509E-03
1.12649168E-01  1.59283996E-01  3.51971225E-03
1.12968740E-01  1.40105888E-01  3.30784521E-03
1.13288312E-01  1.46436766E-01  3.34194652E-03
1.13607884E-01  1.44180417E-01  3.33772413E-03
1.13927457E-01  1.39106974E-01  3.26251076E-03
1.14247029E-01  1.29934818E-01  3.12665082E-03
1.14566601E-01  1.34821609E-01  3.22101265E-03
1.14886173E-01  1.28111467E-01  3.12839425E-03
1.15205745E-01  1.30472541E-01  3.16349370E-03
1.15525317E-01  1.27962440E-01  3.10903648E-03
1.15844889E-01  1.23940550E-01  3.05491057E-03
1.16164461E-01  1.16765410E-01  2.96871853E-03
1.16484033E-01  1.20455056E-01  2.99735903E-03
1.16803605E-01  1.19258657E-01  3.02819628E-03
1.17123178E-01  1.18521340E-01  2.99216178E-03
1.17442750E-01  1.11387841E-01  2.82925391E-03
1.17762322E-01  1.15340270E-01  2.95647094E-03
1.18081894E-01  1.07227236E-01  2.80051655E-03
1.18401466E-01  1.06237940E-01  2.82723759E-03
1.18721038E-01  1.05823137E-01  2.79841828E-03
1.19040610E-01  1.03230886E-01  2.74042855E-03
1.19360182E-01  1.04885131E-01  2.79917708E-03
1.19679754E-01  1.04244575E-01  2.76344619E-03
1.19999327E-01  1.06341891E-01  2.79653468E-03
1.20318899E-01  9.56049487E-02  2.65160413E-03
1.20638471E-01  1.08012572E-01  2.78608780E-03
1.20958043E-01  9.94799882E-02  2.73913424E-03
1.21277615E-01  1.03543654E-01  2.72577698E-03
1.21597187E-01  9.65962633E-02  2.64078029E-03
