### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  1.49707389E+00  4.70601134E-02
1.19839541E-02  1.41373909E+00  4.49998118E-02
1.23035262E-02  1.19745302E+00  4.14147787E-02
1.26230983E-02  1.26454508E+00  3.90061364E-02
1.29426704E-02  1.10091245E+00  3.76724489E-02
1.32622425E-02  1.02159166E+00  3.37359309E-02
1.35818146E-02  9.94854569E-01  3.32915373E-02
1.39013867E-02  9.11525965E-01  3.22676711E-02
1.42209588E-02  8.34708989E-01  2.86134556E-02
1.45405309E-02  8.33893836E-01  3.01101599E-02
1.48601030E-02  7.59583414E-01  2.57968046E-02
1.51796751E-02  7.05053210E-01  2.64415629E-02
1.54992472E-02  7.12796211E-01  2.54895408E-02
1.58188193E-02  6.54443085E-01  2.34931372E-02
1.61383915E-02  6.11619592E-01  2.36288998E-02
1.64579636E-02  5.93677521E-01  2.16780379E-02
1.67775357E-02  5.48621237E-01  2.09312066E-02
1.70971078E-02  5.54211438E-01  2.10375786E-02
1.74166799E-02  5.09459913E-01  1.90261304E-02
1.77362520E-02  4.82518137E-01  1.89697463E-02
1.80558241E-02  5.26280105E-01  1.90401450E-02
1.83753962E-02  4.46721107E-01  1.82525292E-02
1.86949683E-02  4.68158156E-01  1.78482886E-02
1.90145404E-02  4.08692092E-01  1.63476840E-02
1.93341125E-02  3.85020792E-01  1.60703603E-02
1.96536846E-02  4.06985193E-01  1.57114714E-02
1.99732568E-02  3.54272842E-01  1.53886285E-02
2.02928289E-02  3.58318776E-01  1.37611348E-02
2.06124010E-02  3.66831064E-01  1.40158357E-02
2.09319731E-02  3.32407296E-01  1.30877709E-02
2.12515452E-02  3.41203868E-01  1.24092922E-02
2.15711173E-02  3.15377772E-01  1.20763229E-02
2.18906894E-02  3.27417701E-01  1.14617757E-02
2.22102615E-02  2.83104450E-01  1.12864468E-02
2.25298336E-02  2.79103845E-01  1.06244208E-02
2.28494057E-02  2.87162513E-01  1.07990047E-02
2.31689778E-02  3.00927937E-01  1.08442502E-02
2.34885499E-02  2.64533281E-01  9.91169363E-03
2.38081220E-02  2.58586109E-01  9.95246042E-03
2.41276942E-02  2.46952459E-01  9.70514584E-03
2.44472663E-02  2.38546968E-01  9.77723673E-03
2.47668384E-02  2.45564178E-01  9.97429527E-03
2.50864105E-02  2.29628280E-01  9.76875424E-03
2.54059826E-02  2.23202139E-01  9.99818742E-03
2.57255547E-02  2.19696373E-01  9.80807561E-03
2.60451268E-02  2.21908391E-01  9.74991173E-03
2.63646989E-02  2.30997264E-01  1.01167085E-02
2.66842710E-02  2.10421607E-01  9.52838920E-03
2.70038431E-02  2.01270893E-01  9.69148241E-03
2.73234152E-02  2.07851797E-01  9.58229136E-03
2.76429873E-02  1.94396004E-01  9.31528863E-03
2.79625595E-02  1.84138939E-01  8.84986389E-03
2.82821316E-02  1.91384673E-01  8.68880376E-03
2.86017037E-02  1.86691612E-01  8.46624933E-03
2.89212758E-02  1.92578271E-01  8.16086121E-03
2.92408479E-02  1.68175399E-01  7.86928553E-03
2.95604200E-02  1.72063053E-01  7.86797609E-03
2.98799921E-02  1.65441021E-01  7.50697916E-03
3.01995642E-02  1.72674924E-01  7.60381389E-03
3.05191363E-02  1.69201225E-01  7.32279103E-03
3.08387084E-02  1.74649522E-01  7.58709898E-03
3.11582805E-02  1.64504454E-01  7.28949113E-03
3.14778526E-02  1.56655639E-01  7.14157894E-03
3.17974247E-02  1.65765509E-01  7.02989521E-03
3.21169969E-02  1.52213573E-01  6.77346904E-03
3.24365690E-02  1.61985323E-01  7.02867005E-03
3.27561411E-02  1.46336764E-01  6.64350018E-03
3.30757132E-02  1.50578201E-01  6.66337786E-03
3.33952853E-02  1.35627091E-01  6.43597264E-03
3.37148574E-02  1.52556702E-01  6.56178826E-03
3.40344295E-02  1.45227849E-01  6.52982015E-03
3.43540016E-02  1.41911685E-01  6.23681722E-03
3.46735737E-02  1.40971601E-01  6.25628792E-03
3.49931458E-02  1.30536348E-01  6.04663836E-03
3.53127179E-02  1.32503286E-01  6.10461226E-03
3.56322900E-02  1.35239974E-01  6.17718045E-03
3.59518622E-02  1.26476660E-01  5.85696707E-03
3.62714343E-02  1.32258877E-01  6.02065353E-03
3.65910064E-02  1.13203935E-01  5.67125948E-03
3.69105785E-02  1.18529953E-01  5.77884121E-03
3.72301506E-02  1.19256251E-01  5.74340159E-03
3.75497227E-02  1.11674301E-01  5.55830495E-03
3.78692948E-02  1.09125137E-01  5.17186057E-03
3.81888669E-02  1.18545145E-01  5.41467406E-03
3.85084390E-02  1.15136400E-01  5.22949873E-03
3.88280111E-02  1.09098665E-01  5.07987197E-03
3.91475832E-02  1.06268257E-01  5.05134929E-03
3.94671553E-02  1.03837676E-01  5.11154113E-03
3.97867274E-02  1.05511054E-01  5.10086771E-03
4.01062996E-02  1.04510650E-01  4.97219013E-03
4.04258717E-02  9.57901105E-02  4.86456463E-03
4.07454438E-02  1.02876432E-01  4.85970685E-03
4.10650159E-02  9.13408399E-02  4.77330200E-03
4.13845880E-02  9.41202343E-02  4.66660177E-03
4.17041601E-02  9.21664685E-02  4.70902864E-03
4.20237322E-02  8.89918655E-02  4.67357272E-03
4.23433043E-02  9.54793468E-02  4.66086902E-03
4.26628764E-02  9.30574834E-02  4.68732230E-03
4.29824485E-02  8.28861967E-02  4.41405782E-03
4.33020206E-02  8.03299695E-02  4.47000284E-03
4.36215927E-02  8.90775993E-02  4.51396685E-03
4.39411649E-02  7.82654434E-02  4.30998951E-03
4.42607370E-02  8.42712596E-02  4.42023110E-03
4.45803091E-02  8.01270679E-02  4.34147613E-03
4.48998812E-02  7.54415616E-02  4.24690265E-03
4.52194533E-02  7.25170672E-02  4.26055631E-03
4.55390254E-02  7.39674643E-02  4.30301437E-03
4.58585975E-02  7.66755119E-02  4.26850654E-03
4.61781696E-02  7.85742402E-02  4.26107738E-03
4.64977417E-02  7.83158839E-02  4.27802885E-03
4.68173138E-02  6.83953241E-02  4.21268772E-03
4.71368859E-02  6.60687461E-02  4.04865341E-03
4.74564580E-02  6.43277615E-02  4.09597158E-03
4.77760301E-02  7.10042119E-02  4.15381370E-03
4.80956023E-02  6.41289651E-02  4.10590135E-03
4.84151744E-02  6.93829656E-02  4.13776748E-03
4.87347465E-02  6.52580857E-02  3.97111801E-03
4.90543186E-02  6.50423467E-02  4.03244141E-03
