### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  1.68964970E+00  4.88574803E-02
1.19839541E-02  1.57035100E+00  4.63474467E-02
1.23035262E-02  1.46775877E+00  4.48079221E-02
1.26230983E-02  1.42595601E+00  4.04781103E-02
1.29426704E-02  1.21018338E+00  3.85988541E-02
1.32622425E-02  1.23096061E+00  3.61890718E-02
1.35818146E-02  1.14371908E+00  3.48831043E-02
1.39013867E-02  1.11485875E+00  3.48734073E-02
1.42209588E-02  9.95729923E-01  3.05404142E-02
1.45405309E-02  1.00506353E+00  3.23039629E-02
1.48601030E-02  9.07797277E-01  2.75596697E-02
1.51796751E-02  8.59886110E-01  2.85363216E-02
1.54992472E-02  8.14774156E-01  2.66317260E-02
1.58188193E-02  7.79629529E-01  2.50582434E-02
1.61383915E-02  7.36430883E-01  2.53190156E-02
1.64579636E-02  7.09835470E-01  2.31646057E-02
1.67775357E-02  6.45192027E-01  2.21821591E-02
1.70971078E-02  6.21550441E-01  2.17853151E-02
1.74166799E-02  5.89675963E-01  2.00033858E-02
1.77362520E-02  5.66924453E-01  2.00941041E-02
1.80558241E-02  5.28252900E-01  1.86416395E-02
1.83753962E-02  5.61939299E-01  2.00055689E-02
1.86949683E-02  5.55947185E-01  1.89797245E-02
1.90145404E-02  4.80225623E-01  1.73398834E-02
1.93341125E-02  4.56426114E-01  1.70693696E-02
1.96536846E-02  4.52870339E-01  1.61945969E-02
1.99732568E-02  4.41105813E-01  1.67925935E-02
2.02928289E-02  4.16781157E-01  1.44929010E-02
2.06124010E-02  4.20183837E-01  1.46466773E-02
2.09319731E-02  3.99731964E-01  1.39846858E-02
2.12515452E-02  3.82872850E-01  1.28195230E-02
2.15711173E-02  3.89562339E-01  1.31023666E-02
2.18906894E-02  3.67212415E-01  1.18455356E-02
2.22102615E-02  3.70906144E-01  1.25601729E-02
2.25298336E-02  3.50434542E-01  1.15848985E-02
2.28494057E-02  3.24031949E-01  1.11601837E-02
2.31689778E-02  3.32879275E-01  1.11082979E-02
2.34885499E-02  3.13093096E-01  1.04768481E-02
2.38081220E-02  2.96918631E-01  1.04130115E-02
2.41276942E-02  2.87617505E-01  1.01493075E-02
2.44472663E-02  2.55913854E-01  9.85657703E-03
2.47668384E-02  2.86373347E-01  1.04777049E-02
2.50864105E-02  2.64307827E-01  1.01643829E-02
2.54059826E-02  2.67279834E-01  1.05978716E-02
2.57255547E-02  2.73839980E-01  1.05551956E-02
2.60451268E-02  2.47177303E-01  9.96394642E-03
2.63646989E-02  2.42456123E-01  1.00580622E-02
2.66842710E-02  2.51786143E-01  1.00704310E-02
2.70038431E-02  2.59382546E-01  1.06201563E-02
2.73234152E-02  2.30764359E-01  9.84483305E-03
2.76429873E-02  2.19072610E-01  9.49569046E-03
2.79625595E-02  2.21271276E-01  9.38116107E-03
2.82821316E-02  2.39147782E-01  9.37056355E-03
2.86017037E-02  2.32021540E-01  9.11168754E-03
2.89212758E-02  2.19195619E-01  8.41323566E-03
2.92408479E-02  2.19039604E-01  8.56237672E-03
2.95604200E-02  2.26382136E-01  8.64048395E-03
2.98799921E-02  1.94203347E-01  7.79160392E-03
3.01995642E-02  2.16791034E-01  8.13926198E-03
3.05191363E-02  1.98047578E-01  7.56955519E-03
3.08387084E-02  2.03431115E-01  7.85452873E-03
3.11582805E-02  1.99485034E-01  7.70193804E-03
3.14778526E-02  1.99095353E-01  7.66885048E-03
3.17974247E-02  1.86148569E-01  7.20849819E-03
3.21169969E-02  1.85338795E-01  7.13721896E-03
3.24365690E-02  1.82530299E-01  7.16655049E-03
3.27561411E-02  1.75206870E-01  6.96837436E-03
3.30757132E-02  1.78172916E-01  6.89348858E-03
3.33952853E-02  1.58672854E-01  6.61942828E-03
3.37148574E-02  1.65199280E-01  6.60752133E-03
3.40344295E-02  1.75375551E-01  6.88088406E-03
3.43540016E-02  1.67495579E-01  6.44934969E-03
3.46735737E-02  1.53960034E-01  6.29745750E-03
3.49931458E-02  1.55539513E-01  6.20876532E-03
3.53127179E-02  1.47670105E-01  6.21819356E-03
3.56322900E-02  1.51107833E-01  6.23193197E-03
3.59518622E-02  1.53626233E-01  6.08029915E-03
3.62714343E-02  1.54805943E-01  6.19364111E-03
3.65910064E-02  1.50213152E-01  6.04538806E-03
3.69105785E-02  1.31057233E-01  5.75316651E-03
3.72301506E-02  1.32871151E-01  5.73109929E-03
3.75497227E-02  1.34226680E-01  5.66766085E-03
3.78692948E-02  1.31928921E-01  5.35564451E-03
3.81888669E-02  1.47486985E-01  5.65981120E-03
3.85084390E-02  1.29828751E-01  5.26321912E-03
3.88280111E-02  1.22932084E-01  5.12211863E-03
3.91475832E-02  1.31184831E-01  5.20789437E-03
3.94671553E-02  1.21180564E-01  5.16350474E-03
3.97867274E-02  1.17587887E-01  5.09229908E-03
4.01062996E-02  1.10248394E-01  4.92963847E-03
4.04258717E-02  1.11258760E-01  4.85894084E-03
4.07454438E-02  1.10484622E-01  4.81074722E-03
4.10650159E-02  1.11179404E-01  4.84133232E-03
4.13845880E-02  1.13954939E-01  4.76387935E-03
4.17041601E-02  1.05221778E-01  4.67055477E-03
4.20237322E-02  1.17411911E-01  4.91064927E-03
4.23433043E-02  1.11686245E-01  4.74131852E-03
4.26628764E-02  9.62615833E-02  4.57615079E-03
4.29824485E-02  1.08664140E-01  4.57853172E-03
4.33020206E-02  9.67914984E-02  4.49383492E-03
4.36215927E-02  9.84256119E-02  4.48333332E-03
4.39411649E-02  9.40168425E-02  4.39304532E-03
4.42607370E-02  9.36280638E-02  4.43018554E-03
4.45803091E-02  9.21628624E-02  4.31562867E-03
4.48998812E-02  9.27181840E-02  4.36578225E-03
4.52194533E-02  9.40311328E-02  4.35014628E-03
4.55390254E-02  8.77214223E-02  4.24823258E-03
4.58585975E-02  9.02505741E-02  4.22947295E-03
4.61781696E-02  8.08333308E-02  4.16849134E-03
4.64977417E-02  9.06791538E-02  4.27888753E-03
4.68173138E-02  8.25539902E-02  4.17371606E-03
4.71368859E-02  8.54658112E-02  4.11632610E-03
4.74564580E-02  8.33837762E-02  4.14074678E-03
4.77760301E-02  8.39955732E-02  4.10389714E-03
4.80956023E-02  7.86567703E-02  4.09766147E-03
4.84151744E-02  7.58529380E-02  4.05492447E-03
4.87347465E-02  7.41119161E-02  3.91259277E-03
4.90543186E-02  7.22036958E-02  3.95737635E-03
4.93738907E-02  7.56419003E-02  3.99627397E-03
4.96934628E-02  7.39332512E-02  4.01470205E-03
5.00130349E-02  7.41260126E-02  3.88992205E-03
5.03326070E-02  7.17495680E-02  3.89869977E-03
5.06521791E-02  7.22921938E-02  3.93338641E-03
5.09717512E-02  7.06423894E-02  3.92812351E-03
5.12913233E-02  6.68969676E-02  3.80523317E-03
5.16108954E-02  6.86228946E-02  3.83268623E-03
5.19304676E-02  7.04886615E-02  3.90626583E-03
5.22500397E-02  7.10567236E-02  3.86354583E-03
5.25696118E-02  6.09232523E-02  3.73137416E-03
5.28891839E-02  6.99581578E-02  3.77589697E-03
5.32087560E-02  5.91356754E-02  3.66249424E-03
5.35283281E-02  6.65727481E-02  3.79229081E-03
5.38479002E-02  6.73315972E-02  3.74886463E-03
5.41674723E-02  6.66857660E-02  3.74276913E-03
5.44870444E-02  6.70324713E-02  3.82672111E-03
5.48066165E-02  6.43130466E-02  3.68918059E-03
5.51261886E-02  6.05155453E-02  3.70259676E-03
5.54457607E-02  6.58302903E-02  3.67776258E-03
5.57653328E-02  6.56166524E-02  3.65939015E-03
5.60849050E-02  6.67408481E-02  3.74143710E-03
5.64044771E-02  6.30404502E-02  3.66390310E-03
5.67240492E-02  6.44121021E-02  3.69762862E-03
5.70436213E-02  6.69086426E-02  3.66403651E-03
5.73631934E-02  6.48319870E-02  3.67904804E-03
5.76827655E-02  5.89756668E-02  3.58851673E-03
5.80023376E-02  6.11758120E-02  3.56375263E-03
5.83219097E-02  6.39689043E-02  3.66962096E-03
5.86414818E-02  6.20778427E-02  3.51843215E-03
5.89610539E-02  5.91202378E-02  3.59116285E-03
5.92806260E-02  6.56654686E-02  3.62373935E-03
5.96001981E-02  5.94301261E-02  3.56289372E-03
5.99197703E-02  5.92604615E-02  3.51274828E-03
6.02393424E-02  6.14763051E-02  3.52095254E-03
6.05589145E-02  6.30335733E-02  3.55482171E-03
6.08784866E-02  5.90604842E-02  3.55008501E-03
6.11980587E-02  5.90756238E-02  3.47383623E-03
6.15176308E-02  5.51305190E-02  3.44062736E-03
6.18372029E-02  5.77288084E-02  3.40829976E-03
6.21567750E-02  6.17475063E-02  3.47437500E-03
6.24763471E-02  5.66675663E-02  3.43185291E-03
6.27959192E-02  5.73397465E-02  3.47512867E-03
6.31154913E-02  5.95156550E-02  3.45306494E-03
6.34350634E-02  5.53559773E-02  3.42280976E-03
6.37546355E-02  5.78143112E-02  3.45907710E-03
6.40742077E-02  5.17792217E-02  3.29763326E-03
6.43937798E-02  5.31992614E-02  3.39047005E-03
6.47133519E-02  5.52749485E-02  3.38760810E-03
6.50329240E-02  5.30906878E-02  3.33180907E-03
6.53524961E-02  5.45316562E-02  3.40773910E-03
6.56720682E-02  5.43999374E-02  3.30068776E-03
6.59916403E-02  5.83779737E-02  3.41480295E-03
6.63112124E-02  5.22798598E-02  3.33920447E-03
6.66307845E-02  5.41181415E-02  3.33876978E-03
6.69503566E-02  5.23088798E-02  3.30516603E-03
6.72699287E-02  5.79712801E-02  3.34286503E-03
6.75895008E-02  5.37567250E-02  3.32275988E-03
6.79090730E-02  5.08728325E-02  3.30873323E-03
6.82286451E-02  5.34561053E-02  3.22521850E-03
6.85482172E-02  5.23871258E-02  3.31094163E-03
6.88677893E-02  5.55633940E-02  3.33912740E-03
6.91873614E-02  5.59182726E-02  3.34961992E-03
6.95069335E-02  5.54829091E-02  3.27896839E-03
6.98265056E-02  5.52631170E-02  3.26526188E-03
7.01460777E-02  5.25678135E-02  3.30550550E-03
7.04656498E-02  5.01465723E-02  3.21325799E-03
7.07852219E-02  5.18433265E-02  3.27601237E-03
7.11047940E-02  5.48757724E-02  3.19634844E-03
7.14243661E-02  5.44242188E-02  3.29908868E-03
7.17439382E-02  5.36174960E-02  3.26299970E-03
7.20635104E-02  5.10485843E-02  3.21294949E-03
7.23830825E-02  5.28941564E-02  3.23220412E-03
7.27026546E-02  5.28131165E-02  3.17580579E-03
7.30222267E-02  5.11226803E-02  3.23324092E-03
7.33417988E-02  5.07543087E-02  3.17069935E-03
7.36613709E-02  5.37158996E-02  3.18383262E-03
7.39809430E-02  5.59573025E-02  3.21485708E-03
7.43005151E-02  5.42902723E-02  3.13755916E-03
7.46200872E-02  5.12966290E-02  3.20310565E-03
7.49396593E-02  5.30713052E-02  3.15462775E-03
7.52592314E-02  5.12757264E-02  3.13723367E-03
7.55788035E-02  5.32357544E-02  3.18406965E-03
7.58983757E-02  5.57126589E-02  3.16661643E-03
7.62179478E-02  4.85918447E-02  3.16805346E-03
7.65375199E-02  5.12623377E-02  3.11299018E-03
7.68570920E-02  5.25749773E-02  3.11642932E-03
7.71766641E-02  5.39190769E-02  3.13469232E-03
7.74962362E-02  5.06206565E-02  3.11183813E-03
7.78158083E-02  5.64981401E-02  3.17143509E-03
7.81353804E-02  5.53818271E-02  3.09831323E-03
7.84549525E-02  5.40544577E-02  3.11101926E-03
7.87745246E-02  5.53043447E-02  3.13170068E-03
7.90940967E-02  5.86415343E-02  3.11897206E-03
7.94136688E-02  5.33436760E-02  3.09441099E-03
7.97332409E-02  4.98961471E-02  3.03623942E-03
8.00528131E-02  5.24905100E-02  3.09452764E-03
8.03723852E-02  5.60785532E-02  3.10520898E-03
8.06919573E-02  4.84658256E-02  3.05728288E-03
8.10115294E-02  5.78389838E-02  3.10432492E-03
8.13311015E-02  5.52762002E-02  3.05602560E-03
8.16506736E-02  5.97808957E-02  3.10041429E-03
8.19702457E-02  5.11625633E-02  3.06935958E-03
8.22898178E-02  5.51855862E-02  3.01462691E-03
8.26093899E-02  5.55513613E-02  3.06460029E-03
8.29289620E-02  5.56181297E-02  3.07371654E-03
8.32485341E-02  5.47161624E-02  3.03410273E-03
8.35681062E-02  5.47178164E-02  3.02370125E-03
8.38876784E-02  5.52041791E-02  3.01424344E-03
8.42072505E-02  5.90575226E-02  3.05511779E-03
8.45268226E-02  5.86488657E-02  3.06475395E-03
8.48463947E-02  5.70912734E-02  3.07405367E-03
8.51659668E-02  6.08801879E-02  3.03718611E-03
8.54855389E-02  5.90365008E-02  3.01964558E-03
8.58051110E-02  5.47271110E-02  3.01275379E-03
8.61246831E-02  5.66751845E-02  2.97829416E-03
8.64442552E-02  5.80109172E-02  3.07291513E-03
8.67638273E-02  5.61273694E-02  2.95554614E-03
8.70833994E-02  5.96391112E-02  3.04275658E-03
8.74029715E-02  6.07595481E-02  3.02673480E-03
8.77225436E-02  5.97555116E-02  3.00952210E-03
8.80421158E-02  5.76106831E-02  2.98529980E-03
8.83616879E-02  6.23053834E-02  2.98937387E-03
8.86812600E-02  5.84651902E-02  2.99884495E-03
8.90008321E-02  6.21686988E-02  3.05139180E-03
8.93204042E-02  6.04309104E-02  2.96039390E-03
8.96399763E-02  6.33389577E-02  3.01843183E-03
8.99595484E-02  6.02279045E-02  2.92905397E-03
9.02791205E-02  6.11521527E-02  3.02580511E-03
9.05986926E-02  6.64279982E-02  2.96756229E-03
9.09182647E-02  6.70803338E-02  3.02339275E-03
9.12378368E-02  6.57072365E-02  3.03339260E-03
9.15574089E-02  6.89581260E-02  3.00611067E-03
9.18769811E-02  6.84835985E-02  3.01453611E-03
9.21965532E-02  6.97359592E-02  2.99065956E-03
9.25161253E-02  6.79264590E-02  3.00625013E-03
9.28356974E-02  6.51369840E-02  2.99772178E-03
9.31552695E-02  6.73451275E-02  2.98929424E-03
9.34748416E-02  6.75028637E-02  2.95962743E-03
9.37944137E-02  6.61372915E-02  2.94711534E-03
9.41139858E-02  7.31053129E-02  3.03437049E-03
9.44335579E-02  7.19286948E-02  3.00370622E-03
9.47531300E-02  6.76382780E-02  2.99122464E-03
9.50727021E-02  7.17379153E-02  2.96955439E-03
9.53922742E-02  7.19005242E-02  2.98065250E-03
9.57118463E-02  7.28109181E-02  3.00608017E-03
9.60314185E-02  7.54247233E-02  3.04844300E-03
9.63509906E-02  6.96443692E-02  2.93526566E-03
9.66705627E-02  8.13068897E-02  3.06442869E-03
9.69901348E-02  7.37269297E-02  2.96093803E-03
9.73097069E-02  7.94378743E-02  3.04632750E-03
9.76292790E-02  7.68011287E-02  3.00911325E-03
9.79488511E-02  7.74223581E-02  2.98217754E-03
9.82684232E-02  8.36155191E-02  3.06249154E-03
9.85879953E-02  8.12728852E-02  3.00621730E-03
9.89075674E-02  8.33089203E-02  3.05701140E-03
9.92271395E-02  8.57288539E-02  3.06715001E-03
9.95467116E-02  8.62812325E-02  3.07343085E-03
