### DATA:
#
# 1908
#      Q             I(Q)           Error     
1.14966775E-02  0.00000000E+00  0.00000000E+00
1.17952925E-02  2.06452155E+00  5.66313528E-02
1.20939075E-02  1.96277165E+00  3.90451550E-02
1.23925225E-02  1.88069856E+00  3.12065873E-02
1.26911375E-02  1.76224160E+00  2.83753108E-02
1.29897525E-02  1.68418920E+00  2.69582439E-02
1.32883675E-02  1.63907993E+00  2.55514309E-02
1.35869825E-02  1.56500232E+00  2.37777513E-02
1.38855975E-02  1.44850564E+00  2.14293804E-02
1.41842125E-02  1.41164970E+00  2.16004178E-02
1.44828275E-02  1.31589568E+00  2.06365827E-02
1.47814425E-02  1.31220281E+00  1.99923161E-02
1.50800575E-02  1.27551866E+00  1.89805962E-02
1.53786725E-02  1.18237150E+00  1.72119066E-02
1.56772875E-02  1.14241850E+00  1.70567222E-02
1.59759025E-02  1.11515164E+00  1.57313477E-02
1.62745175E-02  1.10575116E+00  1.54458024E-02
1.65731325E-02  1.04080880E+00  1.51979337E-02
1.68717475E-02  9.90836859E-01  1.36179011E-02
1.71703625E-02  9.68936622E-01  1.41665880E-02
1.74689775E-02  9.32598054E-01  1.28308134E-02
1.77675925E-02  9.16363537E-01  1.25072422E-02
1.80662075E-02  8.96006823E-01  1.28725450E-02
1.83648225E-02  8.41700435E-01  1.12127103E-02
1.86634375E-02  8.35592270E-01  1.16891777E-02
1.89620525E-02  8.19698930E-01  1.09089743E-02
1.92606675E-02  7.90168583E-01  1.08640539E-02
1.95592825E-02  7.59820282E-01  1.07573215E-02
1.98578975E-02  7.53489256E-01  9.91776772E-03
2.01565125E-02  7.41598427E-01  1.01875989E-02
2.04551275E-02  7.13971794E-01  9.38219111E-03
2.07537425E-02  6.94346547E-01  9.03962180E-03
2.10523575E-02  6.80685699E-01  8.45262501E-03
2.13509725E-02  6.54300213E-01  7.77827203E-03
2.16495875E-02  6.38938785E-01  7.66364904E-03
2.19482025E-02  6.24299884E-01  7.01637752E-03
2.22468175E-02  6.06106818E-01  7.23249000E-03
2.25454325E-02  6.05702937E-01  6.63090125E-03
2.28440475E-02  5.91456056E-01  6.71113282E-03
2.31426625E-02  5.72154880E-01  6.37066131E-03
2.34412775E-02  5.59966147E-01  6.05838094E-03
2.37398925E-02  5.50560117E-01  6.23506494E-03
2.40385075E-02  5.44584394E-01  5.82885137E-03
2.43371225E-02  5.28051853E-01  5.73969400E-03
2.46357375E-02  5.27057827E-01  5.89010911E-03
2.49343525E-02  5.13892353E-01  5.53052220E-03
2.52329675E-02  5.00778675E-01  5.72926831E-03
2.55315825E-02  4.97280866E-01  5.34896180E-03
2.58301975E-02  4.98272151E-01  5.38428780E-03
2.61288125E-02  4.81325507E-01  5.46890218E-03
2.64274275E-02  4.72689599E-01  5.07593900E-03
2.67260425E-02  4.72870290E-01  5.34632523E-03
2.70246575E-02  4.62858945E-01  4.95383516E-03
2.73232725E-02  4.53895032E-01  5.06363623E-03
2.76218875E-02  4.50331330E-01  5.11872349E-03
2.79205025E-02  4.44249064E-01  4.89517627E-03
2.82191175E-02  4.34114516E-01  4.82230401E-03
2.85177325E-02  4.23320800E-01  4.68193879E-03
2.88163475E-02  4.29848880E-01  4.86614462E-03
2.91149625E-02  4.19385582E-01  4.66791494E-03
2.94135775E-02  4.08167452E-01  4.55208495E-03
2.97121925E-02  4.17425156E-01  4.64149658E-03
3.00108075E-02  3.96473795E-01  4.37352294E-03
3.03094225E-02  4.01639283E-01  4.59895656E-03
3.06080375E-02  3.87086868E-01  4.36919369E-03
3.09066525E-02  3.91773552E-01  4.33408562E-03
3.12052675E-02  3.88827920E-01  4.45021875E-03
3.15038825E-02  3.79599363E-01  4.20817034E-03
3.18024975E-02  3.76827061E-01  4.25718585E-03
3.21011125E-02  3.63784671E-01  4.04730160E-03
3.23997275E-02  3.65196228E-01  3.94789455E-03
3.26983425E-02  3.56172770E-01  3.93135287E-03
3.29969575E-02  3.55635375E-01  3.71179171E-03
3.32955725E-02  3.47616345E-01  3.66970664E-03
3.35941875E-02  3.48177969E-01  3.50215146E-03
3.38928025E-02  3.41804326E-01  3.57269379E-03
3.41914175E-02  3.43208194E-01  3.47313378E-03
3.44900325E-02  3.38577181E-01  3.42644518E-03
3.47886474E-02  3.39189589E-01  3.36989504E-03
3.50872624E-02  3.31002951E-01  3.26622906E-03
3.53858774E-02  3.24244082E-01  3.33458115E-03
3.56844924E-02  3.21984977E-01  3.19502503E-03
3.59831074E-02  3.21453542E-01  3.13841063E-03
3.62817224E-02  3.10634464E-01  3.16086551E-03
3.65803374E-02  3.11394125E-01  3.06781055E-03
3.68789524E-02  3.08502972E-01  3.15654650E-03
3.71775674E-02  3.05921763E-01  3.07075470E-03
3.74761824E-02  3.08129907E-01  2.99962144E-03
3.77747974E-02  2.98142105E-01  2.96457089E-03
3.80734124E-02  3.02104354E-01  2.93720793E-03
3.83720274E-02  3.04212064E-01  3.04410001E-03
3.86706424E-02  2.95469463E-01  2.85788067E-03
3.89692574E-02  2.97745019E-01  2.95420340E-03
3.92678724E-02  2.93261111E-01  2.95425672E-03
3.95664874E-02  2.84164310E-01  2.80267652E-03
3.98651024E-02  2.82677233E-01  2.79782480E-03
4.01637174E-02  2.85229325E-01  2.76401103E-03
4.04623324E-02  2.83996314E-01  2.85571278E-03
4.07609474E-02  2.77733296E-01  2.72510294E-03
4.10595624E-02  2.75817782E-01  2.77109328E-03
4.13581774E-02  2.76868552E-01  2.72555416E-03
4.16567924E-02  2.74428219E-01  2.65896856E-03
4.19554074E-02  2.72410095E-01  2.72478233E-03
4.22540224E-02  2.71637142E-01  2.69968482E-03
4.25526374E-02  2.74280518E-01  2.67606694E-03
4.28512524E-02  2.69355267E-01  2.66089104E-03
4.31498674E-02  2.61992633E-01  2.59373221E-03
4.34484824E-02  2.67074406E-01  2.70034000E-03
4.37470974E-02  2.65349448E-01  2.57645105E-03
4.40457124E-02  2.66928017E-01  2.59667914E-03
4.43443274E-02  2.54914343E-01  2.58639734E-03
4.46429424E-02  2.58954287E-01  2.54932581E-03
4.49415574E-02  2.61211663E-01  2.64281943E-03
4.52401724E-02  2.60411233E-01  2.52209115E-03
4.55387874E-02  2.55499989E-01  2.53842724E-03
4.58374024E-02  2.55828053E-01  2.54005753E-03
4.61360174E-02  2.53882289E-01  2.49420153E-03
4.64346324E-02  2.52869248E-01  2.53771734E-03
4.67332474E-02  2.50740349E-01  2.44802469E-03
4.70318624E-02  2.54166454E-01  2.53798696E-03
4.73304774E-02  2.57285655E-01  2.53905822E-03
4.76290924E-02  2.45372504E-01  2.42729019E-03
4.79277074E-02  2.47973278E-01  2.42517376E-03
4.82263224E-02  2.51116693E-01  2.42390158E-03
4.85249374E-02  2.48467222E-01  2.48516933E-03
4.88235524E-02  2.51853645E-01  2.44035525E-03
4.91221674E-02  2.48917505E-01  2.41145259E-03
4.94207824E-02  2.51645774E-01  2.45056557E-03
4.97193974E-02  2.48360381E-01  2.39084521E-03
5.00180124E-02  2.55034775E-01  2.49007065E-03
5.03166274E-02  2.49485865E-01  2.39271624E-03
5.06152424E-02  2.51453668E-01  2.40926305E-03
5.09138574E-02  2.52682835E-01  2.44437670E-03
5.12124724E-02  2.54464507E-01  2.38841702E-03
5.15110874E-02  2.54444033E-01  2.43078428E-03
5.18097024E-02  2.54950166E-01  2.39762687E-03
5.21083174E-02  2.54999369E-01  2.39438657E-03
5.24069324E-02  2.56472409E-01  2.40303297E-03
5.27055474E-02  2.58926839E-01  2.39891093E-03
5.30041624E-02  2.59350300E-01  2.44680978E-03
5.33027774E-02  2.58773059E-01  2.38797371E-03
5.36013924E-02  2.60160923E-01  2.40807165E-03
5.39000074E-02  2.66088724E-01  2.39447667E-03
5.41986224E-02  2.66326010E-01  2.44346075E-03
5.44972374E-02  2.69503951E-01  2.42668367E-03
5.47958524E-02  2.72618383E-01  2.42368132E-03
5.50944674E-02  2.79109687E-01  2.49066134E-03
5.53930824E-02  2.75031537E-01  2.41767871E-03
5.56916974E-02  2.83364683E-01  2.44071381E-03
5.59903124E-02  2.85012454E-01  2.49905186E-03
5.62889274E-02  2.91510969E-01  2.47220811E-03
5.65875424E-02  2.94919580E-01  2.53142859E-03
5.68861574E-02  3.00065696E-01  2.50822306E-03
5.71847724E-02  3.03807318E-01  2.50695460E-03
5.74833874E-02  3.08561057E-01  2.55384436E-03
5.77820024E-02  3.09561968E-01  2.52722600E-03
5.80806174E-02  3.11259389E-01  2.59698601E-03
5.83792324E-02  3.18334818E-01  2.53269612E-03
5.86778474E-02  3.22240263E-01  2.58879713E-03
