### DATA:
#
# 1908
#      Q             I(Q)           Error     
1.14966775E-02  0.00000000E+00  0.00000000E+00
1.17952925E-02  2.92962790E+00  7.04555064E-02
1.20939075E-02  2.86354637E+00  4.92544957E-02
1.23925225E-02  2.72404099E+00  3.92242819E-02
1.26911375E-02  2.62234402E+00  3.61504927E-02
1.29897525E-02  2.42959189E+00  3.38161625E-02
1.32883675E-02  2.31873178E+00  3.17396335E-02
1.35869825E-02  2.14125896E+00  2.90475413E-02
1.38855975E-02  2.02602839E+00  2.64687724E-02
1.41842125E-02  1.91936874E+00  2.63050664E-02
1.44828275E-02  1.83984613E+00  2.54846867E-02
1.47814425E-02  1.72165322E+00  2.39164643E-02
1.50800575E-02  1.64296174E+00  2.24978831E-02
1.53786725E-02  1.57853484E+00  2.07701959E-02
1.56772875E-02  1.55052507E+00  2.07531434E-02
1.59759025E-02  1.43976581E+00  1.86683685E-02
1.62745175E-02  1.33317292E+00  1.77127719E-02
1.65731325E-02  1.35262537E+00  1.80946141E-02
1.68717475E-02  1.24569988E+00  1.59469377E-02
1.71703625E-02  1.23308122E+00  1.66907143E-02
1.74689775E-02  1.16298425E+00  1.49642639E-02
1.77675925E-02  1.09168720E+00  1.42573323E-02
1.80662075E-02  1.08664453E+00  1.48051912E-02
1.83648225E-02  1.05526257E+00  1.31121399E-02
1.86634375E-02  9.97208595E-01  1.33364815E-02
1.89620525E-02  9.82445061E-01  1.24730421E-02
1.92606675E-02  9.29974496E-01  1.23091787E-02
1.95592825E-02  9.18308079E-01  1.23510649E-02
1.98578975E-02  8.70703340E-01  1.11345323E-02
2.01565125E-02  8.54536831E-01  1.14212679E-02
2.04551275E-02  8.41696322E-01  1.06390528E-02
2.07537425E-02  8.12294900E-01  1.02112871E-02
2.10523575E-02  7.65809655E-01  9.36354324E-03
2.13509725E-02  7.46251523E-01  8.67558457E-03
2.16495875E-02  7.21783817E-01  8.50689504E-03
2.19482025E-02  7.00476170E-01  7.76201533E-03
2.22468175E-02  6.86712265E-01  8.04011337E-03
2.25454325E-02  6.81016028E-01  7.34315813E-03
2.28440475E-02  6.57337248E-01  7.38907745E-03
2.31426625E-02  6.36608899E-01  7.01819686E-03
2.34412775E-02  6.36303604E-01  6.74480479E-03
2.37398925E-02  6.09762669E-01  6.85299654E-03
2.40385075E-02  6.04005694E-01  6.41109748E-03
2.43371225E-02  5.84952116E-01  6.30916841E-03
