### DATA:
#
# 1908
#      Q             I(Q)           Error     
1.14966775E-02  0.00000000E+00  0.00000000E+00
1.17952925E-02  9.99038041E-01  6.40883222E-02
1.20939075E-02  9.55869853E-01  4.43274044E-02
1.23925225E-02  8.82552445E-01  3.47774401E-02
1.26911375E-02  8.65785122E-01  3.23559083E-02
1.29897525E-02  7.79999495E-01  2.98458505E-02
1.32883675E-02  7.55841553E-01  2.82274205E-02
1.35869825E-02  7.10389733E-01  2.60616709E-02
1.38855975E-02  6.88848138E-01  2.40409654E-02
1.41842125E-02  6.77048266E-01  2.43359972E-02
1.44828275E-02  6.44956470E-01  2.35035196E-02
1.47814425E-02  6.24752879E-01  2.24417876E-02
1.50800575E-02  6.20429277E-01  2.15354133E-02
1.53786725E-02  5.75579107E-01  1.95364282E-02
1.56772875E-02  4.89983737E-01  1.81724913E-02
1.59759025E-02  5.05100310E-01  1.72237772E-02
1.62745175E-02  4.87643808E-01  1.66868288E-02
1.65731325E-02  4.66924399E-01  1.65601019E-02
1.68717475E-02  4.37876642E-01  1.47273848E-02
1.71703625E-02  3.99068862E-01  1.47904763E-02
1.74689775E-02  4.05522466E-01  1.37643293E-02
1.77675925E-02  3.61883789E-01  1.27865346E-02
1.80662075E-02  3.57290685E-01  1.32239219E-02
1.83648225E-02  3.79108518E-01  1.22420527E-02
1.86634375E-02  3.39722633E-01  1.21252201E-02
1.89620525E-02  3.24676991E-01  1.11692278E-02
1.92606675E-02  3.09928447E-01  1.10688731E-02
1.95592825E-02  2.73280323E-01  1.04952678E-02
1.98578975E-02  2.76735306E-01  9.77796130E-03
2.01565125E-02  2.87420601E-01  1.03177987E-02
2.04551275E-02  2.78002292E-01  9.52420104E-03
2.07537425E-02  2.71906614E-01  9.20264516E-03
2.10523575E-02  2.45567098E-01  8.25931598E-03
2.13509725E-02  2.42028669E-01  7.69606372E-03
2.16495875E-02  2.31595546E-01  7.50605483E-03
2.19482025E-02  2.32278526E-01  6.96244044E-03
2.22468175E-02  2.26578906E-01  7.19388761E-03
2.25454325E-02  2.07871020E-01  6.31946512E-03
2.28440475E-02  2.12216347E-01  6.53980300E-03
2.31426625E-02  2.08569482E-01  6.25739759E-03
2.34412775E-02  1.89606324E-01  5.73512306E-03
2.37398925E-02  2.03510299E-01  6.16697874E-03
2.40385075E-02  1.98135942E-01  5.71969198E-03
2.43371225E-02  1.83110714E-01  5.49854757E-03
2.46357375E-02  1.74731284E-01  5.51721873E-03
2.49343525E-02  1.78472504E-01  5.30220335E-03
2.52329675E-02  1.72259435E-01  5.46648819E-03
2.55315825E-02  1.65062279E-01  5.01340954E-03
2.58301975E-02  1.57062113E-01  4.91780555E-03
2.61288125E-02  1.54915050E-01  5.04740514E-03
2.64274275E-02  1.51758775E-01  4.67892317E-03
2.67260425E-02  1.48936003E-01  4.88118036E-03
2.70246575E-02  1.52526483E-01  4.62626480E-03
2.73232725E-02  1.31562918E-01  4.43498511E-03
2.76218875E-02  1.42126217E-01  4.67814133E-03
2.79205025E-02  1.26195461E-01  4.24441276E-03
2.82191175E-02  1.29153013E-01  4.27903049E-03
2.85177325E-02  1.25670254E-01  4.14999714E-03
2.88163475E-02  1.26547977E-01  4.29531839E-03
2.91149625E-02  1.22653089E-01  4.10672929E-03
2.94135775E-02  1.12323314E-01  3.88478301E-03
2.97121925E-02  1.15418516E-01  3.97051778E-03
3.00108075E-02  1.21808618E-01  3.94369941E-03
3.03094225E-02  1.20971605E-01  4.10604384E-03
3.06080375E-02  1.07809111E-01  3.75115871E-03
3.09066525E-02  1.13062583E-01  3.78773897E-03
3.12052675E-02  1.15253128E-01  3.94157367E-03
3.15038825E-02  1.04080655E-01  3.58472834E-03
3.18024975E-02  9.90293697E-02  3.55037488E-03
3.21011125E-02  1.03559002E-01  3.51299858E-03
3.23997275E-02  9.54427123E-02  3.28332908E-03
3.26983425E-02  1.02669671E-01  3.43378750E-03
3.29969575E-02  9.54537988E-02  3.12837213E-03
3.32955725E-02  9.29931775E-02  3.08778789E-03
