### DATA:
#
# 1908
#      Q             I(Q)           Error     
1.14966775E-02  0.00000000E+00  0.00000000E+00
1.17952925E-02  4.98893231E-01  2.50703283E-02
1.20939075E-02  4.57318872E-01  1.69726964E-02
1.23925225E-02  4.01466429E-01  1.29843522E-02
1.26911375E-02  4.16115165E-01  1.24172000E-02
1.29897525E-02  3.81449282E-01  1.15537653E-02
1.32883675E-02  3.73104304E-01  1.09784054E-02
1.35869825E-02  3.51874292E-01  1.01535060E-02
1.38855975E-02  3.09044838E-01  8.91393051E-03
1.41842125E-02  3.04504484E-01  9.03450884E-03
1.44828275E-02  2.78475821E-01  8.54928512E-03
1.47814425E-02  2.79880852E-01  8.31492245E-03
1.50800575E-02  2.79683292E-01  8.00402928E-03
1.53786725E-02  2.35101476E-01  6.91176020E-03
1.56772875E-02  2.36477286E-01  6.98854402E-03
1.59759025E-02  2.38648877E-01  6.55371603E-03
1.62745175E-02  2.19246477E-01  6.19379850E-03
1.65731325E-02  2.05893263E-01  6.08736230E-03
1.68717475E-02  1.93225577E-01  5.41564776E-03
1.71703625E-02  2.04933509E-01  5.86722931E-03
1.74689775E-02  1.87687159E-01  5.18362084E-03
1.77675925E-02  1.88837245E-01  5.11305500E-03
1.80662075E-02  1.70378134E-01  5.05504105E-03
1.83648225E-02  1.64142445E-01  4.45914175E-03
1.86634375E-02  1.56352669E-01  4.55353223E-03
1.89620525E-02  1.61306560E-01  4.35804529E-03
1.92606675E-02  1.53482437E-01  4.31191688E-03
1.95592825E-02  1.46487325E-01  4.25361050E-03
1.98578975E-02  1.43346593E-01  3.89563316E-03
2.01565125E-02  1.37674555E-01  3.95296793E-03
2.04551275E-02  1.32883310E-01  3.64508736E-03
2.07537425E-02  1.27797633E-01  3.49246874E-03
2.10523575E-02  1.30836368E-01  3.33727151E-03
2.13509725E-02  1.28384024E-01  3.10283783E-03
2.16495875E-02  1.30084455E-01  3.11406492E-03
2.19482025E-02  1.20356686E-01  2.77434452E-03
2.22468175E-02  1.14295907E-01  2.82837893E-03
2.25454325E-02  1.15328811E-01  2.60567712E-03
2.28440475E-02  1.13139078E-01  2.64332094E-03
2.31426625E-02  1.05907612E-01  2.46831332E-03
2.34412775E-02  1.09824613E-01  2.41620908E-03
2.37398925E-02  1.04166456E-01  2.44237040E-03
2.40385075E-02  1.06404006E-01  2.32026912E-03
2.43371225E-02  1.01344422E-01  2.26443238E-03
2.46357375E-02  9.45420414E-02  2.24654796E-03
2.49343525E-02  9.72642303E-02  2.16678414E-03
2.52329675E-02  9.48874280E-02  2.24589556E-03
2.55315825E-02  9.54686701E-02  2.11061025E-03
2.58301975E-02  9.46067944E-02  2.11283285E-03
2.61288125E-02  8.94494653E-02  2.12313980E-03
2.64274275E-02  8.71287286E-02  1.96253788E-03
2.67260425E-02  8.86308923E-02  2.08442309E-03
2.70246575E-02  8.96086842E-02  1.96291390E-03
2.73232725E-02  8.14094767E-02  1.93121773E-03
2.76218875E-02  8.18669572E-02  1.96543592E-03
2.79205025E-02  8.19780827E-02  1.89370767E-03
2.82191175E-02  8.05004463E-02  1.87008164E-03
2.85177325E-02  8.02948549E-02  1.83630059E-03
2.88163475E-02  7.88974315E-02  1.87744631E-03
2.91149625E-02  7.73611665E-02  1.80545496E-03
2.94135775E-02  7.40681440E-02  1.74628815E-03
2.97121925E-02  7.21175149E-02  1.73739321E-03
3.00108075E-02  7.23049939E-02  1.68196636E-03
3.03094225E-02  7.27729574E-02  1.76293054E-03
3.06080375E-02  7.09121823E-02  1.68409455E-03
3.09066525E-02  7.08866641E-02  1.66024128E-03
3.12052675E-02  6.98913857E-02  1.69911771E-03
3.15038825E-02  6.74953684E-02  1.59799925E-03
3.18024975E-02  6.93510175E-02  1.64470111E-03
3.21011125E-02  6.55129552E-02  1.54673529E-03
3.23997275E-02  6.37547225E-02  1.48548256E-03
3.26983425E-02  6.54567257E-02  1.51774148E-03
3.29969575E-02  6.52240217E-02  1.43150846E-03
3.32955725E-02  6.94340914E-02  1.47698692E-03
3.35941875E-02  6.23363368E-02  1.33448571E-03
3.38928025E-02  6.47197142E-02  1.40002021E-03
3.41914175E-02  6.13687672E-02  1.32259051E-03
3.44900325E-02  6.31341338E-02  1.33246579E-03
3.47886474E-02  6.04140870E-02  1.28077611E-03
3.50872624E-02  6.09286688E-02  1.26197445E-03
3.53858774E-02  6.07130788E-02  1.29943748E-03
3.56844924E-02  5.88026717E-02  1.22960040E-03
3.59831074E-02  6.08069561E-02  1.22923893E-03
3.62817224E-02  5.88463470E-02  1.23893912E-03
3.65803374E-02  5.98073453E-02  1.21076428E-03
3.68789524E-02  6.00602403E-02  1.25425274E-03
3.71775674E-02  5.67694865E-02  1.19125959E-03
3.74761824E-02  5.65050766E-02  1.15678390E-03
3.77747974E-02  5.79735748E-02  1.17726496E-03
3.80734124E-02  5.42860143E-02  1.12126733E-03
3.83720274E-02  5.56076914E-02  1.17205258E-03
3.86706424E-02  5.70982061E-02  1.13137870E-03
3.89692574E-02  5.80496937E-02  1.17470033E-03
3.92678724E-02  5.45466840E-02  1.14739814E-03
3.95664874E-02  5.60222641E-02  1.12066942E-03
3.98651024E-02  5.45950346E-02  1.10728818E-03
4.01637174E-02  5.47181629E-02  1.09022821E-03
4.04623324E-02  5.53791448E-02  1.13563903E-03
4.07609474E-02  5.20652533E-02  1.06255617E-03
4.10595624E-02  5.28792106E-02  1.09267631E-03
4.13581774E-02  5.26368506E-02  1.07021723E-03
4.16567924E-02  5.37804142E-02  1.06003415E-03
4.19554074E-02  5.21197319E-02  1.07332261E-03
4.22540224E-02  5.20712137E-02  1.06445258E-03
4.25526374E-02  5.07768877E-02  1.03691104E-03
4.28512524E-02  5.13124578E-02  1.04588701E-03
4.31498674E-02  5.11038639E-02  1.03161216E-03
4.34484824E-02  5.15694022E-02  1.06858078E-03
4.37470974E-02  5.26073128E-02  1.03310589E-03
4.40457124E-02  5.31001091E-02  1.04298466E-03
4.43443274E-02  5.13536707E-02  1.04542484E-03
4.46429424E-02  5.08234464E-02  1.01707934E-03
4.49415574E-02  4.86395657E-02  1.02701096E-03
4.52401724E-02  4.98216115E-02  9.93456342E-04
4.55387874E-02  4.93734889E-02  1.00490544E-03
4.58374024E-02  4.89440151E-02  1.00052566E-03
4.61360174E-02  4.90846448E-02  9.87636624E-04
4.64346324E-02  4.95700911E-02  1.01184531E-03
4.67332474E-02  4.94465269E-02  9.78995115E-04
4.70318624E-02  4.96769845E-02  1.01045484E-03
4.73304774E-02  4.93396856E-02  1.00131799E-03
4.76290924E-02  4.80012335E-02  9.66816267E-04
4.79277074E-02  4.99348231E-02  9.80056589E-04
4.82263224E-02  4.87646982E-02  9.61920072E-04
4.85249374E-02  4.81387898E-02  9.85094812E-04
4.88235524E-02  4.85748053E-02  9.65146988E-04
4.91221674E-02  4.69673984E-02  9.43318242E-04
4.94207824E-02  4.78613712E-02  9.62438644E-04
4.97193974E-02  4.78395633E-02  9.44958883E-04
5.00180124E-02  4.88785617E-02  9.81703051E-04
5.03166274E-02  4.84427325E-02  9.49492562E-04
5.06152424E-02  4.81129065E-02  9.49062989E-04
5.09138574E-02  4.73286062E-02  9.52688919E-04
5.12124724E-02  4.71426062E-02  9.25789704E-04
5.15110874E-02  4.83065434E-02  9.53810872E-04
5.18097024E-02  4.65386361E-02  9.22507199E-04
5.21083174E-02  4.78444211E-02  9.34005366E-04
5.24069324E-02  4.80416231E-02  9.36606666E-04
5.27055474E-02  4.60892729E-02  9.11453448E-04
5.30041624E-02  4.88808230E-02  9.56610369E-04
5.33027774E-02  4.68766205E-02  9.15286655E-04
5.36013924E-02  4.66916412E-02  9.18706821E-04
5.39000074E-02  4.69723120E-02  9.05998168E-04
5.41986224E-02  4.71612252E-02  9.25976783E-04
5.44972374E-02  4.65343744E-02  9.08085087E-04
5.47958524E-02  4.59239557E-02  8.95832083E-04
5.50944674E-02  4.54587527E-02  9.05200897E-04
5.53930824E-02  4.48993854E-02  8.79703905E-04
5.56916974E-02  4.45668176E-02  8.71683471E-04
5.59903124E-02  4.69324328E-02  9.13248281E-04
5.62889274E-02  4.60789315E-02  8.85151792E-04
5.65875424E-02  4.57104705E-02  8.97492224E-04
5.68861574E-02  4.61980477E-02  8.86296039E-04
5.71847724E-02  4.37710322E-02  8.56938655E-04
5.74833874E-02  4.43810709E-02  8.72231496E-04
5.77820024E-02  4.52946387E-02  8.70567921E-04
5.80806174E-02  4.45288420E-02  8.84581998E-04
5.83792324E-02  4.59041297E-02  8.66115675E-04
5.86778474E-02  4.68730070E-02  8.89157178E-04
5.89764624E-02  4.51412350E-02  8.82075343E-04
5.92750774E-02  4.39080782E-02  8.34718114E-04
5.95736924E-02  4.46804538E-02  8.68113653E-04
5.98723074E-02  4.48183380E-02  8.51407531E-04
6.01709224E-02  4.40421738E-02  8.42922076E-04
6.04695374E-02  4.59545106E-02  8.74570687E-04
6.07681524E-02  4.46936712E-02  8.53517267E-04
6.10667674E-02  4.52269837E-02  8.63072637E-04
6.13653824E-02  4.62616906E-02  8.53049045E-04
6.16639974E-02  4.53975610E-02  8.55796447E-04
6.19626124E-02  4.52392027E-02  8.55398946E-04
6.22612274E-02  4.51969691E-02  8.38997366E-04
6.25598424E-02  4.55703437E-02  8.60737578E-04
6.28584574E-02  4.39339057E-02  8.31312558E-04
6.31570724E-02  4.56280597E-02  8.54691840E-04
6.34556874E-02  4.35912348E-02  8.12980754E-04
6.37543024E-02  4.48701568E-02  8.35960906E-04
6.40529174E-02  4.35149074E-02  8.34667182E-04
6.43515324E-02  4.33599651E-02  8.17240216E-04
6.46501474E-02  4.33440208E-02  8.34619859E-04
6.49487624E-02  4.46585827E-02  8.16030719E-04
6.52473774E-02  4.43799719E-02  8.20305548E-04
6.55459924E-02  4.40762751E-02  8.26494710E-04
6.58446074E-02  4.40010168E-02  8.16796732E-04
6.61432224E-02  4.45103198E-02  8.30555218E-04
6.64418374E-02  4.22649495E-02  7.89206766E-04
6.67404524E-02  4.45761941E-02  8.21131922E-04
6.70390674E-02  4.44128662E-02  8.23591021E-04
6.73376824E-02  4.39260378E-02  7.97601242E-04
6.76362974E-02  4.44722585E-02  8.22151836E-04
6.79349124E-02  4.34968248E-02  7.95067812E-04
6.82335274E-02  4.47410420E-02  8.11998500E-04
6.85321424E-02  4.35945354E-02  8.11069855E-04
6.88307574E-02  4.34113741E-02  7.93373387E-04
6.91293724E-02  4.29417826E-02  8.01147078E-04
6.94279874E-02  4.41215597E-02  7.92574428E-04
6.97266024E-02  4.40192074E-02  8.05424061E-04
7.00252174E-02  4.37015742E-02  7.96022709E-04
7.03238324E-02  4.31799740E-02  7.84960692E-04
7.06224474E-02  4.36372906E-02  8.00987647E-04
7.09210624E-02  4.34912555E-02  7.89576385E-04
7.12196774E-02  4.39649709E-02  7.92065170E-04
7.15182924E-02  4.51449156E-02  7.85039912E-04
7.18169074E-02  4.36326377E-02  7.92665873E-04
7.21155224E-02  4.39219251E-02  7.92576990E-04
7.24141374E-02  4.38249931E-02  7.87247089E-04
7.27127524E-02  4.43040431E-02  7.88008852E-04
7.30113674E-02  4.44665961E-02  7.83377502E-04
7.33099824E-02  4.39544134E-02  7.83154042E-04
7.36085974E-02  4.49367873E-02  7.94501859E-04
7.39072124E-02  4.45138328E-02  7.76181114E-04
7.42058274E-02  4.43056971E-02  7.90669059E-04
7.45044424E-02  4.57970947E-02  7.89839891E-04
7.48030574E-02  4.55986261E-02  7.93289568E-04
7.51016724E-02  4.79364656E-02  8.12482496E-04
7.54002874E-02  4.57747169E-02  7.81247683E-04
7.56989024E-02  4.69237156E-02  8.04735057E-04
7.59975174E-02  4.59520929E-02  7.83590600E-04
7.62961324E-02  4.73087691E-02  7.97615794E-04
7.65947474E-02  4.89186011E-02  8.08489101E-04
7.68933624E-02  4.55946699E-02  7.81367824E-04
7.71919774E-02  4.78024818E-02  8.08702898E-04
7.74905924E-02  4.74448726E-02  7.87907746E-04
7.77892074E-02  4.77388687E-02  7.95316475E-04
7.80878224E-02  4.91772667E-02  8.00503884E-04
7.83864374E-02  4.82068546E-02  7.91340368E-04
7.86850524E-02  4.81344424E-02  8.03693139E-04
7.89836674E-02  5.05462810E-02  8.13255203E-04
7.92822824E-02  4.99261953E-02  8.01620074E-04
7.95808974E-02  5.09585850E-02  8.02522292E-04
7.98795124E-02  5.10463901E-02  8.18972883E-04
8.01781274E-02  5.12444563E-02  8.27492797E-04
8.04767424E-02  5.23315072E-02  8.14899220E-04
8.07753574E-02  5.31612001E-02  8.29732686E-04
8.10739724E-02  5.46706244E-02  8.32076068E-04
8.13725874E-02  5.43602780E-02  8.26396048E-04
8.16712024E-02  5.64373359E-02  8.55799066E-04
8.19698174E-02  5.69805913E-02  8.37768719E-04
8.22684324E-02  5.73265068E-02  8.58108164E-04
8.25670474E-02  5.81266880E-02  8.53697245E-04
8.28656624E-02  5.93929738E-02  8.69020703E-04
8.31642774E-02  6.00611158E-02  8.61805689E-04
8.34628924E-02  6.25086799E-02  8.80054897E-04
8.37615074E-02  6.31320551E-02  8.97773483E-04
8.40601224E-02  6.41800687E-02  8.86529335E-04
8.43587374E-02  6.51273504E-02  8.96540412E-04
8.46573524E-02  6.80034831E-02  9.11669864E-04
8.49559674E-02  6.72422498E-02  9.12772026E-04
8.52545824E-02  7.07918331E-02  9.38401849E-04
8.55531974E-02  7.20555186E-02  9.31242132E-04
8.58518124E-02  7.50713944E-02  9.55103664E-04
8.61504274E-02  7.55823702E-02  9.48342611E-04
8.64490424E-02  7.96755031E-02  9.89700551E-04
8.67476574E-02  8.18885639E-02  1.00140006E-03
8.70462724E-02  8.59692544E-02  1.00903155E-03
8.73448874E-02  8.82197618E-02  1.02992740E-03
8.76435024E-02  9.44671854E-02  1.05525227E-03
8.79421174E-02  9.79723781E-02  1.09216094E-03
8.82407324E-02  1.04542546E-01  1.12385349E-03
8.85393474E-02  1.14009589E-01  1.15711498E-03
8.88379624E-02  1.18620597E-01  1.18918263E-03
8.91365774E-02  1.33956224E-01  1.24730577E-03
8.94351924E-02  1.45544946E-01  1.30983442E-03
8.97338074E-02  1.60342619E-01  1.36715791E-03
9.00324224E-02  1.78493068E-01  1.43847824E-03
9.03310374E-02  1.99249953E-01  1.53688097E-03
9.06296524E-02  2.25574106E-01  1.61561824E-03
9.09282674E-02  2.55965501E-01  1.71943905E-03
9.12268824E-02  3.01857322E-01  1.86381408E-03
9.15254974E-02  3.51479232E-01  2.00387766E-03
9.18241124E-02  4.12681311E-01  2.20354600E-03
9.21227274E-02  4.81880337E-01  2.35921238E-03
9.24213424E-02  5.58336675E-01  2.49638339E-03
9.27199574E-02  6.44004226E-01  2.70513608E-03
9.30185724E-02  7.26039529E-01  2.87746405E-03
9.33171874E-02  8.09137821E-01  3.06837377E-03
9.36158024E-02  8.80576551E-01  3.09156976E-03
9.39144174E-02  9.23500478E-01  3.24820029E-03
9.42130324E-02  9.33567286E-01  3.24823707E-03
9.45116474E-02  9.08479512E-01  3.19002429E-03
9.48102624E-02  8.62447560E-01  3.12206522E-03
9.51088774E-02  7.77006507E-01  2.90659163E-03
9.54074924E-02  6.89385295E-01  2.77394499E-03
