### DATA:
#
# 1908
#      Q             I(Q)           Error     
1.14966775E-02  0.00000000E+00  0.00000000E+00
1.17952925E-02  6.58258736E-01  3.05260178E-02
1.20939075E-02  6.53304160E-01  2.15037689E-02
1.23925225E-02  5.85119069E-01  1.66162644E-02
1.26911375E-02  5.39181292E-01  1.49830393E-02
1.29897525E-02  5.21416843E-01  1.43190194E-02
1.32883675E-02  4.65699941E-01  1.30014820E-02
1.35869825E-02  4.59580064E-01  1.23003786E-02
1.38855975E-02  4.15438890E-01  1.09553868E-02
1.41842125E-02  3.67758095E-01  1.05245719E-02
1.44828275E-02  3.83395195E-01  1.06334696E-02
1.47814425E-02  3.61397773E-01  1.00156693E-02
1.50800575E-02  3.41806382E-01  9.37953126E-03
1.53786725E-02  3.21481407E-01  8.56750831E-03
1.56772875E-02  3.05633485E-01  8.42186064E-03
1.59759025E-02  2.92425603E-01  7.69008696E-03
1.62745175E-02  2.65624493E-01  7.22670695E-03
1.65731325E-02  2.60473311E-01  7.25780474E-03
1.68717475E-02  2.56175369E-01  6.61001401E-03
1.71703625E-02  2.41032317E-01  6.74496731E-03
1.74689775E-02  2.28911713E-01  6.06827904E-03
1.77675925E-02  2.23854244E-01  5.90112666E-03
1.80662075E-02  2.14196473E-01  6.00813283E-03
1.83648225E-02  2.09892645E-01  5.34509029E-03
1.86634375E-02  2.13683933E-01  5.64283412E-03
1.89620525E-02  1.95408389E-01  5.08455513E-03
1.92606675E-02  1.85119510E-01  5.01975743E-03
1.95592825E-02  1.75009519E-01  4.92837932E-03
1.98578975E-02  1.74870804E-01  4.56098467E-03
2.01565125E-02  1.64263085E-01  4.57701180E-03
2.04551275E-02  1.59538329E-01  4.23370767E-03
2.07537425E-02  1.58185065E-01  4.11878852E-03
2.10523575E-02  1.57535866E-01  3.88179533E-03
2.13509725E-02  1.58162206E-01  3.65065318E-03
2.16495875E-02  1.46336973E-01  3.50112515E-03
2.19482025E-02  1.39694110E-01  3.16832657E-03
2.22468175E-02  1.37394264E-01  3.28717008E-03
2.25454325E-02  1.34484425E-01  2.98265694E-03
2.28440475E-02  1.35664165E-01  3.06825736E-03
2.31426625E-02  1.27018556E-01  2.86540436E-03
2.34412775E-02  1.26271561E-01  2.74633220E-03
2.37398925E-02  1.22194424E-01  2.80407025E-03
2.40385075E-02  1.23597436E-01  2.65081669E-03
2.43371225E-02  1.22403592E-01  2.63798400E-03
2.46357375E-02  1.15589760E-01  2.63316766E-03
2.49343525E-02  1.12382606E-01  2.46890401E-03
2.52329675E-02  1.12772621E-01  2.59539043E-03
2.55315825E-02  1.08689047E-01  2.38718512E-03
2.58301975E-02  1.03547931E-01  2.34309724E-03
2.61288125E-02  1.04360454E-01  2.43093469E-03
2.64274275E-02  1.02720350E-01  2.25881790E-03
2.67260425E-02  9.82130617E-02  2.32591364E-03
2.70246575E-02  9.39730257E-02  2.13080365E-03
2.73232725E-02  9.65720788E-02  2.22964212E-03
2.76218875E-02  9.83522534E-02  2.28355965E-03
2.79205025E-02  9.35893282E-02  2.14482984E-03
2.82191175E-02  9.45548266E-02  2.14841869E-03
2.85177325E-02  8.82414579E-02  2.04057177E-03
2.88163475E-02  8.56913403E-02  2.07405444E-03
2.91149625E-02  8.57432634E-02  2.01484095E-03
2.94135775E-02  8.48459005E-02  1.98121322E-03
2.97121925E-02  8.16462860E-02  1.95957348E-03
3.00108075E-02  8.18610340E-02  1.89708767E-03
3.03094225E-02  8.39788094E-02  2.00747745E-03
3.06080375E-02  8.33207294E-02  1.93507678E-03
3.09066525E-02  7.43213221E-02  1.80202699E-03
3.12052675E-02  7.96010271E-02  1.92214700E-03
3.15038825E-02  7.70740509E-02  1.81012799E-03
3.18024975E-02  7.67429471E-02  1.83398335E-03
3.21011125E-02  7.55832642E-02  1.76108698E-03
3.23997275E-02  7.58771896E-02  1.71783962E-03
3.26983425E-02  7.20478371E-02  1.68790016E-03
3.29969575E-02  7.12414309E-02  1.58588635E-03
3.32955725E-02  7.44187459E-02  1.62086566E-03
3.35941875E-02  7.18740076E-02  1.51895464E-03
3.38928025E-02  7.18375519E-02  1.56353426E-03
3.41914175E-02  7.13591725E-02  1.51179254E-03
3.44900325E-02  7.23942742E-02  1.51248707E-03
3.47886474E-02  7.11793751E-02  1.47365825E-03
3.50872624E-02  6.95198625E-02  1.42892613E-03
3.53858774E-02  7.15953484E-02  1.49579567E-03
3.56844924E-02  6.98583648E-02  1.42066041E-03
3.59831074E-02  6.93030432E-02  1.39107776E-03
3.62817224E-02  6.90243840E-02  1.42235204E-03
3.65803374E-02  6.78910986E-02  1.36742776E-03
3.68789524E-02  6.82519376E-02  1.41730928E-03
3.71775674E-02  6.69911504E-02  1.37174455E-03
3.74761824E-02  6.60199225E-02  1.32544478E-03
3.77747974E-02  6.58404604E-02  1.32990687E-03
3.80734124E-02  6.52663186E-02  1.30324287E-03
3.83720274E-02  6.48985654E-02  1.34218647E-03
3.86706424E-02  6.83399290E-02  1.31204783E-03
3.89692574E-02  6.67767823E-02  1.33553566E-03
3.92678724E-02  6.48712590E-02  1.32639147E-03
3.95664874E-02  6.47631139E-02  1.27725222E-03
3.98651024E-02  6.32888079E-02  1.26375584E-03
4.01637174E-02  6.58043325E-02  1.26734399E-03
4.04623324E-02  6.54454231E-02  1.30864687E-03
4.07609474E-02  6.63734153E-02  1.27171737E-03
4.10595624E-02  6.37307391E-02  1.27156661E-03
4.13581774E-02  6.35709316E-02  1.24672859E-03
4.16567924E-02  6.39050156E-02  1.22487254E-03
4.19554074E-02  6.44754395E-02  1.26544118E-03
4.22540224E-02  6.36199787E-02  1.24721078E-03
4.25526374E-02  6.22899197E-02  1.21739903E-03
4.28512524E-02  6.15378134E-02  1.21411553E-03
4.31498674E-02  6.47469833E-02  1.23087794E-03
4.34484824E-02  6.32205829E-02  1.25416927E-03
4.37470974E-02  6.43783063E-02  1.21145474E-03
4.40457124E-02  6.39015064E-02  1.21283403E-03
4.43443274E-02  6.58581182E-02  1.25495275E-03
4.46429424E-02  6.35572895E-02  1.20564958E-03
4.49415574E-02  6.53019920E-02  1.26141810E-03
4.52401724E-02  6.40399307E-02  1.19393575E-03
4.55387874E-02  6.53148368E-02  1.22517976E-03
4.58374024E-02  6.46484122E-02  1.21891382E-03
4.61360174E-02  6.55818805E-02  1.21012970E-03
4.64346324E-02  6.60502687E-02  1.23810407E-03
4.67332474E-02  6.65812567E-02  1.20421569E-03
4.70318624E-02  6.81751594E-02  1.25478115E-03
4.73304774E-02  6.68574795E-02  1.23556179E-03
4.76290924E-02  6.49208575E-02  1.19186065E-03
4.79277074E-02  6.75861835E-02  1.20863167E-03
4.82263224E-02  6.77362084E-02  1.20174477E-03
4.85249374E-02  6.63228482E-02  1.22568151E-03
4.88235524E-02  6.81132525E-02  1.21148862E-03
4.91221674E-02  6.82093203E-02  1.20502885E-03
4.94207824E-02  6.96545020E-02  1.23075244E-03
4.97193974E-02  6.86670691E-02  1.20007712E-03
5.00180124E-02  7.08519146E-02  1.25288835E-03
5.03166274E-02  6.93844408E-02  1.20454736E-03
5.06152424E-02  7.24474043E-02  1.23450044E-03
5.09138574E-02  7.16260150E-02  1.24233949E-03
5.12124724E-02  7.28694350E-02  1.22009555E-03
5.15110874E-02  7.35791028E-02  1.24782068E-03
5.18097024E-02  7.65596554E-02  1.25423388E-03
5.21083174E-02  7.41459206E-02  1.23251718E-03
5.24069324E-02  7.48484582E-02  1.23924005E-03
5.27055474E-02  7.60519430E-02  1.24109583E-03
5.30041624E-02  7.55822957E-02  1.26093149E-03
5.33027774E-02  7.63486475E-02  1.23821280E-03
5.36013924E-02  7.96218067E-02  1.27171271E-03
5.39000074E-02  8.12324286E-02  1.26295153E-03
5.41986224E-02  7.94686750E-02  1.27415173E-03
5.44972374E-02  8.04635584E-02  1.26577006E-03
5.47958524E-02  8.15468356E-02  1.26539508E-03
5.50944674E-02  8.34451094E-02  1.30002666E-03
5.53930824E-02  8.45566243E-02  1.27969286E-03
5.56916974E-02  8.69938955E-02  1.29096070E-03
5.59903124E-02  8.82588327E-02  1.32753816E-03
5.62889274E-02  8.67019445E-02  1.28705346E-03
5.65875424E-02  8.94984230E-02  1.33120874E-03
5.68861574E-02  9.11537707E-02  1.31968397E-03
5.71847724E-02  9.60291028E-02  1.34546810E-03
5.74833874E-02  9.61934552E-02  1.36119779E-03
5.77820024E-02  9.73911583E-02  1.35317713E-03
5.80806174E-02  9.89442244E-02  1.39774592E-03
5.83792324E-02  1.05125181E-01  1.38937344E-03
5.86778474E-02  1.05261937E-01  1.41243485E-03
5.89764624E-02  1.08476266E-01  1.44944561E-03
5.92750774E-02  1.10068426E-01  1.40092417E-03
5.95736924E-02  1.12274699E-01  1.45872822E-03
5.98723074E-02  1.15695663E-01  1.45005260E-03
6.01709224E-02  1.18046127E-01  1.46283233E-03
6.04695374E-02  1.22424677E-01  1.51314645E-03
6.07681524E-02  1.24561138E-01  1.51041464E-03
6.10667674E-02  1.28362283E-01  1.54128473E-03
6.13653824E-02  1.32349879E-01  1.52946881E-03
6.16639974E-02  1.37243852E-01  1.57730724E-03
6.19626124E-02  1.41213015E-01  1.60200638E-03
6.22612274E-02  1.47876725E-01  1.60868675E-03
6.25598424E-02  1.51861683E-01  1.66559464E-03
6.28584574E-02  1.57696590E-01  1.66951842E-03
6.31570724E-02  1.65269256E-01  1.72426982E-03
6.34556874E-02  1.69040903E-01  1.69704040E-03
6.37543024E-02  1.76683053E-01  1.75841036E-03
6.40529174E-02  1.79949269E-01  1.79922290E-03
6.43515324E-02  1.89901128E-01  1.81294512E-03
6.46501474E-02  1.96529657E-01  1.88388245E-03
6.49487624E-02  2.08396241E-01  1.86859258E-03
6.52473774E-02  2.18858510E-01  1.93098758E-03
6.55459924E-02  2.26717025E-01  1.98698835E-03
6.58446074E-02  2.37395421E-01  2.01110356E-03
6.61432224E-02  2.49443293E-01  2.08420120E-03
6.64418374E-02  2.66350508E-01  2.10011448E-03
6.67404524E-02  2.75441855E-01  2.16367492E-03
6.70390674E-02  2.89679706E-01  2.22962513E-03
6.73376824E-02  3.11604887E-01  2.25186604E-03
6.76362974E-02  3.29134107E-01  2.37087952E-03
6.79349124E-02  3.48903447E-01  2.38695182E-03
6.82335274E-02  3.70955974E-01  2.47844309E-03
6.85321424E-02  3.97373796E-01  2.59571779E-03
6.88307574E-02  4.27722305E-01  2.63980846E-03
6.91293724E-02  4.54149067E-01  2.76176701E-03
6.94279874E-02  4.88957047E-01  2.79682712E-03
6.97266024E-02  5.21911502E-01  2.93979817E-03
7.00252174E-02  5.61159134E-01  3.02367820E-03
7.03238324E-02  6.10658824E-01  3.12911603E-03
7.06224474E-02  6.53140843E-01  3.28485318E-03
7.09210624E-02  7.09695339E-01  3.38099687E-03
7.12196774E-02  7.56363571E-01  3.48247867E-03
7.15182924E-02  8.26558828E-01  3.56073631E-03
7.18169074E-02  8.88536453E-01  3.79173225E-03
7.21155224E-02  9.53920126E-01  3.91536625E-03
7.24141374E-02  1.03884292E+00  4.06294269E-03
7.27127524E-02  1.11724234E+00  4.19467920E-03
7.30113674E-02  1.20497310E+00  4.32273326E-03
7.33099824E-02  1.28412426E+00  4.48709354E-03
7.36085974E-02  1.36892092E+00  4.64834878E-03
7.39072124E-02  1.46229243E+00  4.71572299E-03
7.42058274E-02  1.54793715E+00  4.95401397E-03
7.45044424E-02  1.63358474E+00  5.00042085E-03
7.48030574E-02  1.72726107E+00  5.17547783E-03
7.51016724E-02  1.79941714E+00  5.27670141E-03
7.54002874E-02  1.85772002E+00  5.27571933E-03
7.56989024E-02  1.90745080E+00  5.43874921E-03
7.59975174E-02  1.95640504E+00  5.41977864E-03
7.62961324E-02  1.96159172E+00  5.44430967E-03
7.65947474E-02  1.97655964E+00  5.44763170E-03
7.68933624E-02  1.96033037E+00  5.43098664E-03
7.71919774E-02  1.91433883E+00  5.42486319E-03
7.74905924E-02  1.86744452E+00  5.23986621E-03
7.77892074E-02  1.80605972E+00  5.18543972E-03
7.80878224E-02  1.70660138E+00  4.99876728E-03
7.83864374E-02  1.62451875E+00  4.86952811E-03
7.86850524E-02  1.52344811E+00  4.79282672E-03
7.89836674E-02  1.40204501E+00  4.54024039E-03
7.92822824E-02  1.29823041E+00  4.33307141E-03
7.95808974E-02  1.18871975E+00  4.10869392E-03
7.98795124E-02  1.09268665E+00  4.01652465E-03
8.01781274E-02  9.91516829E-01  3.85839259E-03
8.04767424E-02  9.09753442E-01  3.60163557E-03
8.07753574E-02  8.18589628E-01  3.45135434E-03
8.10739724E-02  7.55695462E-01  3.27925361E-03
8.13725874E-02  6.77181005E-01  3.09182843E-03
8.16712024E-02  6.19255900E-01  3.00496374E-03
8.19698174E-02  5.68970144E-01  2.80621555E-03
8.22684324E-02  5.22160947E-01  2.74525117E-03
8.25670474E-02  4.81994241E-01  2.60586920E-03
8.28656624E-02  4.40326661E-01  2.50822050E-03
8.31642774E-02  4.13249284E-01  2.39626202E-03
8.34628924E-02  3.85452271E-01  2.31654383E-03
8.37615074E-02  3.63973320E-01  2.28503160E-03
8.40601224E-02  3.41659874E-01  2.16823141E-03
8.43587374E-02  3.25463384E-01  2.12449068E-03
8.46573524E-02  3.11141908E-01  2.06712564E-03
8.49559674E-02  2.95822829E-01  2.02942337E-03
8.52545824E-02  2.84425706E-01  1.99387223E-03
8.55531974E-02  2.77231812E-01  1.93627097E-03
8.58518124E-02  2.64408439E-01  1.90005661E-03
8.61504274E-02  2.58180559E-01  1.85794302E-03
8.64490424E-02  2.53538996E-01  1.87145500E-03
8.67476574E-02  2.48343185E-01  1.84857764E-03
8.70462724E-02  2.42596343E-01  1.79676351E-03
8.73448874E-02  2.38450751E-01  1.79489329E-03
8.76435024E-02  2.36733824E-01  1.77076762E-03
8.79421174E-02  2.40393147E-01  1.81347458E-03
8.82407324E-02  2.33214453E-01  1.77933008E-03
8.85393474E-02  2.33648673E-01  1.75591337E-03
8.88379624E-02  2.36194536E-01  1.77876698E-03
8.91365774E-02  2.35893801E-01  1.75454840E-03
8.94351924E-02  2.39557326E-01  1.78130460E-03
8.97338074E-02  2.42976084E-01  1.78398658E-03
9.00324224E-02  2.47236550E-01  1.79458724E-03
9.03310374E-02  2.56175667E-01  1.84724992E-03
9.06296524E-02  2.66728759E-01  1.86227867E-03
9.09282674E-02  2.76882589E-01  1.89565576E-03
9.12268824E-02  2.87794024E-01  1.92911550E-03
9.15254974E-02  3.05001616E-01  1.97873684E-03
9.18241124E-02  3.22523624E-01  2.06495752E-03
9.21227274E-02  3.46085995E-01  2.11936166E-03
9.24213424E-02  3.72339070E-01  2.16096686E-03
9.27199574E-02  4.12008584E-01  2.29357812E-03
9.30185724E-02  4.48509037E-01  2.39734747E-03
9.33171874E-02  5.00505149E-01  2.55809654E-03
9.36158024E-02  5.58997691E-01  2.61105550E-03
9.39144174E-02  6.29999161E-01  2.84387055E-03
9.42130324E-02  7.25322604E-01  3.03498190E-03
9.45116474E-02  8.24867189E-01  3.22213746E-03
9.48102624E-02  9.53799546E-01  3.48032499E-03
9.51088774E-02  1.09216404E+00  3.65284504E-03
9.54074924E-02  1.22690320E+00  3.92272230E-03
9.57061074E-02  1.37327123E+00  4.13913885E-03
9.60047224E-02  1.50039983E+00  4.33030678E-03
9.63033374E-02  1.61394966E+00  4.44820197E-03
9.66019524E-02  1.68592620E+00  4.57011396E-03
9.69005674E-02  1.72206986E+00  4.60677082E-03
9.71991824E-02  1.69745910E+00  4.56184242E-03
9.74977974E-02  1.64222193E+00  4.47154976E-03
9.77964124E-02  1.53455746E+00  4.30770079E-03
9.80950274E-02  1.40990198E+00  4.15753806E-03
9.83936424E-02  1.27589357E+00  3.95673933E-03
9.86922574E-02  1.12390459E+00  3.71038774E-03
9.89908724E-02  9.86078560E-01  3.43846553E-03
9.92894874E-02  8.51672351E-01  3.18612135E-03
9.95881024E-02  7.31472909E-01  2.97664129E-03
9.98867174E-02  6.29477322E-01  2.77082413E-03
1.00185332E-01  5.41026294E-01  2.51105637E-03
1.00483947E-01  4.68552202E-01  2.37425067E-03
1.00782562E-01  4.10460740E-01  2.19532265E-03
1.01081177E-01  3.59530836E-01  2.07537180E-03
1.01379792E-01  3.22299510E-01  1.95754110E-03
1.01678407E-01  2.87512571E-01  1.82902860E-03
1.01977022E-01  2.61450171E-01  1.76309748E-03
1.02275637E-01  2.43806586E-01  1.70257001E-03
1.02574252E-01  2.28394717E-01  1.64100551E-03
1.02872867E-01  2.11241513E-01  1.56137149E-03
1.03171482E-01  1.98016569E-01  1.51047704E-03
1.03470097E-01  1.87496945E-01  1.47220655E-03
1.03768712E-01  1.79414093E-01  1.45323400E-03
1.04067327E-01  1.76831216E-01  1.41705514E-03
1.04365942E-01  1.71205088E-01  1.41025416E-03
1.04664557E-01  1.65822029E-01  1.38677051E-03
1.04963172E-01  1.59504548E-01  1.35018281E-03
1.05261787E-01  1.57237560E-01  1.34381268E-03
1.05560402E-01  1.50627658E-01  1.30161340E-03
1.05859017E-01  1.52536646E-01  1.32680696E-03
1.06157632E-01  1.48021549E-01  1.29858463E-03
1.06456247E-01  1.41391441E-01  1.26916973E-03
1.06754862E-01  1.41964123E-01  1.25666417E-03
1.07053477E-01  1.40853643E-01  1.25968212E-03
1.07352092E-01  1.41180605E-01  1.26114453E-03
1.07650707E-01  1.38404429E-01  1.24967913E-03
1.07949322E-01  1.40225768E-01  1.25587627E-03
1.08247937E-01  1.37375817E-01  1.24206347E-03
1.08546552E-01  1.36368737E-01  1.24243984E-03
1.08845167E-01  1.35849267E-01  1.21976575E-03
1.09143782E-01  1.35555729E-01  1.23283430E-03
1.09442397E-01  1.36656955E-01  1.22244365E-03
1.09741012E-01  1.34007677E-01  1.21429400E-03
1.10039627E-01  1.34837955E-01  1.22762716E-03
1.10338242E-01  1.36942551E-01  1.22943334E-03
1.10636857E-01  1.35258019E-01  1.20689138E-03
1.10935472E-01  1.34612024E-01  1.20309251E-03
1.11234087E-01  1.36333287E-01  1.22194621E-03
1.11532702E-01  1.36997819E-01  1.22397568E-03
1.11831317E-01  1.36257708E-01  1.21412100E-03
1.12129932E-01  1.36519805E-01  1.21761707E-03
1.12428547E-01  1.37891278E-01  1.22325006E-03
1.12727162E-01  1.37040257E-01  1.21436350E-03
1.13025777E-01  1.37566283E-01  1.21530867E-03
1.13324392E-01  1.41892523E-01  1.23240449E-03
1.13623007E-01  1.40689760E-01  1.22996350E-03
1.13921622E-01  1.41227096E-01  1.23324804E-03
1.14220237E-01  1.44540310E-01  1.23547751E-03
1.14518852E-01  1.47049323E-01  1.23605772E-03
