### DATA:
#
# 2275
#      Q             I(Q)           Error     
2.93160033E-02  3.69678102E-02  1.67604187E-03
2.96229771E-02  3.80091146E-02  1.68403401E-03
2.99299510E-02  3.56226489E-02  1.66927138E-03
3.02369248E-02  3.68757322E-02  1.64368574E-03
3.05438987E-02  3.73045430E-02  1.65452610E-03
3.08508726E-02  3.98951620E-02  1.69270718E-03
3.11578464E-02  3.79575640E-02  1.60632108E-03
3.14648203E-02  3.81884649E-02  1.67383556E-03
3.17717941E-02  3.50267775E-02  1.53812009E-03
3.20787680E-02  3.70099060E-02  1.56215869E-03
3.23857418E-02  3.41959596E-02  1.52025593E-03
3.26927157E-02  3.71237062E-02  1.55951665E-03
3.29996896E-02  3.56613547E-02  1.52848661E-03
3.33066634E-02  3.19401734E-02  1.40646845E-03
3.36136373E-02  3.22849452E-02  1.41576701E-03
3.39206111E-02  3.59663256E-02  1.50027021E-03
3.42275850E-02  3.44101973E-02  1.46597275E-03
3.45345588E-02  3.25977020E-02  1.42302667E-03
3.48415327E-02  3.34060565E-02  1.39182468E-03
3.51485065E-02  3.20540480E-02  1.39046391E-03
3.54554804E-02  3.23887840E-02  1.37850840E-03
3.57624543E-02  3.15551944E-02  1.36998785E-03
3.60694281E-02  3.39204073E-02  1.35581242E-03
3.63764020E-02  3.33620310E-02  1.35363406E-03
3.66833758E-02  3.08218356E-02  1.30709808E-03
3.69903497E-02  3.10655925E-02  1.29788450E-03
3.72973235E-02  3.38509269E-02  1.35854154E-03
3.76042974E-02  3.20019498E-02  1.26150600E-03
3.79112713E-02  3.23513597E-02  1.31135446E-03
3.82182451E-02  3.26420404E-02  1.30318524E-03
3.85252190E-02  3.45723107E-02  1.32963306E-03
3.88321928E-02  3.11219059E-02  1.25222071E-03
3.91391667E-02  3.12909186E-02  1.24987552E-03
3.94461405E-02  3.52057852E-02  1.31045142E-03
3.97531144E-02  3.44493911E-02  1.33680459E-03
4.00600883E-02  3.65939029E-02  1.27955549E-03
4.03670621E-02  3.49587649E-02  1.30282575E-03
4.06740360E-02  3.16170119E-02  1.20682013E-03
4.09810098E-02  2.97909230E-02  1.20271626E-03
