### DATA:
#
# 2275
#      Q             I(Q)           Error     
2.93160033E-02  3.72964367E-02  1.67910638E-03
2.96229771E-02  4.08672094E-02  1.74355297E-03
2.99299510E-02  4.08960655E-02  1.78263441E-03
3.02369248E-02  4.10485864E-02  1.72518939E-03
3.05438987E-02  3.54088880E-02  1.62635103E-03
3.08508726E-02  3.66479196E-02  1.62354182E-03
3.11578464E-02  3.74541096E-02  1.59641041E-03
3.14648203E-02  3.51643413E-02  1.60113943E-03
3.17717941E-02  3.38146202E-02  1.51695125E-03
3.20787680E-02  3.29129174E-02  1.48699363E-03
3.23857418E-02  3.52595523E-02  1.53509225E-03
3.26927157E-02  3.65780815E-02  1.54883985E-03
3.29996896E-02  3.35167795E-02  1.49312662E-03
3.33066634E-02  3.24430577E-02  1.42383703E-03
3.36136373E-02  3.55173685E-02  1.47888856E-03
3.39206111E-02  3.33317071E-02  1.44037185E-03
3.42275850E-02  3.38946469E-02  1.44717516E-03
3.45345588E-02  3.28565091E-02  1.41545106E-03
3.48415327E-02  3.48143019E-02  1.41670892E-03
3.51485065E-02  3.33375297E-02  1.40426040E-03
3.54554804E-02  3.20174247E-02  1.38618180E-03
3.57624543E-02  3.35517675E-02  1.40068680E-03
3.60694281E-02  3.16428617E-02  1.31259789E-03
3.63764020E-02  3.01875751E-02  1.28259533E-03
3.66833758E-02  3.20631973E-02  1.34609395E-03
3.69903497E-02  3.20568420E-02  1.31159066E-03
3.72973235E-02  3.33424732E-02  1.34895055E-03
3.76042974E-02  2.99315453E-02  1.23136106E-03
3.79112713E-02  3.20645869E-02  1.30606559E-03
3.82182451E-02  3.17140818E-02  1.28849060E-03
3.85252190E-02  3.20302323E-02  1.28575368E-03
3.88321928E-02  3.26194465E-02  1.27981941E-03
3.91391667E-02  3.13051082E-02  1.25571596E-03
3.94461405E-02  3.37050781E-02  1.28500920E-03
3.97531144E-02  3.25204134E-02  1.29388226E-03
4.00600883E-02  3.36566567E-02  1.23576669E-03
4.03670621E-02  3.12752649E-02  1.24127907E-03
4.06740360E-02  3.35657224E-02  1.23495830E-03
4.09810098E-02  3.25848833E-02  1.24807528E-03
