### DATA:
#
# 2275
#      Q             I(Q)           Error     
2.93160033E-02  4.72966731E-02  1.87249319E-03
2.96229771E-02  4.08916324E-02  1.72798685E-03
2.99299510E-02  4.74061817E-02  1.90387818E-03
3.02369248E-02  4.61146496E-02  1.82141911E-03
3.05438987E-02  4.68340963E-02  1.83557288E-03
3.08508726E-02  4.55678776E-02  1.78869569E-03
3.11578464E-02  4.24121916E-02  1.68175285E-03
3.14648203E-02  4.59602997E-02  1.81390834E-03
3.17717941E-02  4.33521569E-02  1.68876024E-03
3.20787680E-02  4.08918336E-02  1.62916956E-03
3.23857418E-02  4.09440175E-02  1.63384422E-03
3.26927157E-02  4.14530970E-02  1.62592425E-03
3.29996896E-02  3.96309309E-02  1.59677560E-03
3.33066634E-02  3.79831083E-02  1.51088694E-03
3.36136373E-02  3.77676114E-02  1.50350493E-03
3.39206111E-02  4.04051878E-02  1.56802533E-03
3.42275850E-02  4.03730273E-02  1.56091142E-03
3.45345588E-02  3.79002392E-02  1.49696949E-03
3.48415327E-02  3.80495563E-02  1.45913381E-03
3.51485065E-02  3.62510532E-02  1.44657446E-03
3.54554804E-02  3.93977426E-02  1.49336760E-03
3.57624543E-02  3.55732329E-02  1.42179232E-03
3.60694281E-02  3.60906236E-02  1.37694308E-03
3.63764020E-02  3.73808518E-02  1.40386738E-03
3.66833758E-02  3.45583446E-02  1.35967985E-03
3.69903497E-02  3.40597034E-02  1.32577226E-03
3.72973235E-02  3.46589908E-02  1.35423883E-03
3.76042974E-02  3.61292101E-02  1.31313852E-03
3.79112713E-02  3.46536972E-02  1.32793258E-03
3.82182451E-02  3.22097763E-02  1.26924308E-03
3.85252190E-02  3.43080685E-02  1.30325567E-03
3.88321928E-02  3.48964557E-02  1.29691651E-03
3.91391667E-02  3.67975309E-02  1.32523070E-03
3.94461405E-02  3.37282568E-02  1.26669137E-03
3.97531144E-02  3.47295776E-02  1.32022041E-03
4.00600883E-02  3.07784434E-02  1.15836202E-03
4.03670621E-02  3.20357084E-02  1.22851331E-03
4.06740360E-02  3.11178491E-02  1.17530499E-03
4.09810098E-02  3.15053873E-02  1.20288122E-03
4.12879837E-02  3.03945336E-02  1.20051194E-03
4.15949575E-02  3.18907537E-02  1.14703062E-03
4.19019314E-02  3.08718234E-02  1.17783353E-03
4.22089052E-02  3.14724594E-02  1.15930289E-03
4.25158791E-02  2.96930857E-02  1.14288740E-03
4.28228530E-02  3.16076353E-02  1.16349314E-03
4.31298268E-02  3.20976302E-02  1.14270579E-03
4.34368007E-02  3.06609403E-02  1.16136589E-03
