### DATA:
#
# 2275
#      Q             I(Q)           Error     
2.93160033E-02  4.44068350E-02  1.85674301E-03
2.96229771E-02  4.61877920E-02  1.87935459E-03
2.99299510E-02  4.52413559E-02  1.90331810E-03
3.02369248E-02  4.42244895E-02  1.82534009E-03
3.05438987E-02  4.50532585E-02  1.84236479E-03
3.08508726E-02  4.13967632E-02  1.74466555E-03
3.11578464E-02  4.55328748E-02  1.78320496E-03
3.14648203E-02  4.41577546E-02  1.81948859E-03
3.17717941E-02  4.07840982E-02  1.67621614E-03
3.20787680E-02  4.11919653E-02  1.67330925E-03
3.23857418E-02  4.10345010E-02  1.67383219E-03
3.26927157E-02  3.92035693E-02  1.61810440E-03
3.29996896E-02  3.79320048E-02  1.59864337E-03
3.33066634E-02  4.10989262E-02  1.60832528E-03
3.36136373E-02  3.90500948E-02  1.56450900E-03
3.39206111E-02  4.23136987E-02  1.64208992E-03
3.42275850E-02  3.79193015E-02  1.54804904E-03
3.45345588E-02  3.93808335E-02  1.56155170E-03
3.48415327E-02  3.84990424E-02  1.50199060E-03
3.51485065E-02  3.78424414E-02  1.51248823E-03
3.54554804E-02  3.95988375E-02  1.53212494E-03
3.57624543E-02  3.90388221E-02  1.52420986E-03
3.60694281E-02  4.15913761E-02  1.51266379E-03
3.63764020E-02  4.09685634E-02  1.50400330E-03
3.66833758E-02  4.20730710E-02  1.53526815E-03
3.69903497E-02  4.52881753E-02  1.56445405E-03
3.72973235E-02  4.49960642E-02  1.57905230E-03
3.76042974E-02  4.55828309E-02  1.50939834E-03
3.79112713E-02  5.36631085E-02  1.69106806E-03
3.82182451E-02  5.39489426E-02  1.68098696E-03
3.85252190E-02  6.14881702E-02  1.78545632E-03
3.88321928E-02  7.51085803E-02  1.94709923E-03
3.91391667E-02  9.56143588E-02  2.18607788E-03
3.94461405E-02  1.19614467E-01  2.44111149E-03
3.97531144E-02  1.55886471E-01  2.86235078E-03
4.00600883E-02  1.94900051E-01  2.98297009E-03
4.03670621E-02  2.38493159E-01  3.43022496E-03
4.06740360E-02  2.76321203E-01  3.58405639E-03
4.09810098E-02  3.22336137E-01  3.93737480E-03
4.12879837E-02  3.76351148E-01  4.32302011E-03
4.15949575E-02  4.18738157E-01  4.25339630E-03
4.19019314E-02  4.57938224E-01  4.64224583E-03
4.22089052E-02  4.48904783E-01  4.48054262E-03
4.25158791E-02  4.13640827E-01  4.36525280E-03
4.28228530E-02  3.62581640E-01  4.03266959E-03
4.31298268E-02  3.03375721E-01  3.59509443E-03
4.34368007E-02  2.49640882E-01  3.39122140E-03
4.37437745E-02  2.03514710E-01  2.94454489E-03
4.40507484E-02  1.65910214E-01  2.70031625E-03
4.43577222E-02  1.36154458E-01  2.37881090E-03
4.46646961E-02  1.10779725E-01  2.16343557E-03
4.49716700E-02  9.06169862E-02  1.96483405E-03
4.52786438E-02  8.10527578E-02  1.84544746E-03
4.55856177E-02  6.97632581E-02  1.70509669E-03
4.58925915E-02  5.84372431E-02  1.52364350E-03
4.61995654E-02  5.28504550E-02  1.45466090E-03
4.65065392E-02  4.79007177E-02  1.41869683E-03
4.68135131E-02  4.69373465E-02  1.35327398E-03
4.71204869E-02  4.32496369E-02  1.30402565E-03
4.74274608E-02  4.15366590E-02  1.28123909E-03
4.77344347E-02  4.11414877E-02  1.27513043E-03
4.80414085E-02  3.81962582E-02  1.24318234E-03
4.83483824E-02  3.96175273E-02  1.18432892E-03
4.86553562E-02  3.68781276E-02  1.19648443E-03
4.89623301E-02  3.84242684E-02  1.20017247E-03
4.92693039E-02  3.38883623E-02  1.12711021E-03
4.95762778E-02  3.57767791E-02  1.16815325E-03
4.98832517E-02  3.81138846E-02  1.15762686E-03
5.01902255E-02  3.56629826E-02  1.15342333E-03
5.04971994E-02  3.79484445E-02  1.17000064E-03
5.08041732E-02  3.62934209E-02  1.14827300E-03
5.11111471E-02  3.63117531E-02  1.14314584E-03
5.14181209E-02  3.48224752E-02  1.11293118E-03
5.17250948E-02  3.75517979E-02  1.16387242E-03
5.20320686E-02  3.50235775E-02  1.09716866E-03
5.23390425E-02  3.50903012E-02  1.08967687E-03
5.26460164E-02  3.44567299E-02  1.09070877E-03
5.29529902E-02  3.67422216E-02  1.12376770E-03
5.32599641E-02  3.59943584E-02  1.12757995E-03
5.35669379E-02  3.61121930E-02  1.09936821E-03
5.38739118E-02  3.61733176E-02  1.10636780E-03
5.41808856E-02  3.63982357E-02  1.08374166E-03
5.44878595E-02  3.67880240E-02  1.10718934E-03
5.47948334E-02  3.63987498E-02  1.11850642E-03
5.51018072E-02  3.79612185E-02  1.07976911E-03
5.54087811E-02  3.78670916E-02  1.12948066E-03
5.57157549E-02  3.65944467E-02  1.07537734E-03
5.60227288E-02  3.68727148E-02  1.10129162E-03
5.63297026E-02  3.89477052E-02  1.12105836E-03
5.66366765E-02  3.63373607E-02  1.05116144E-03
5.69436503E-02  3.83021571E-02  1.10939227E-03
5.72506242E-02  3.81476134E-02  1.07171433E-03
5.75575981E-02  3.91899645E-02  1.11517077E-03
5.78645719E-02  3.99932116E-02  1.11959502E-03
5.81715458E-02  3.98811139E-02  1.09150726E-03
5.84785196E-02  4.01576385E-02  1.10614090E-03
5.87854935E-02  4.23308387E-02  1.12453243E-03
5.90924673E-02  4.26852256E-02  1.14614435E-03
5.93994412E-02  4.50917222E-02  1.15166395E-03
5.97064151E-02  4.52363491E-02  1.15573476E-03
6.00133889E-02  4.58552353E-02  1.18794350E-03
6.03203628E-02  4.52535525E-02  1.14064454E-03
6.06273366E-02  4.86225821E-02  1.18345511E-03
6.09343105E-02  4.88309003E-02  1.18154648E-03
6.12412843E-02  5.10328971E-02  1.21472473E-03
6.15482582E-02  5.45878261E-02  1.28202618E-03
6.18552321E-02  5.61912209E-02  1.23118644E-03
6.21622059E-02  5.75965494E-02  1.29048154E-03
6.24691798E-02  6.13773316E-02  1.30886666E-03
6.27761536E-02  6.04765192E-02  1.30639854E-03
6.30831275E-02  6.39422014E-02  1.35587668E-03
6.33901013E-02  6.62983730E-02  1.32570229E-03
6.36970752E-02  6.85949475E-02  1.37741969E-03
6.40040490E-02  7.43909180E-02  1.42927375E-03
6.43110229E-02  6.95783794E-02  1.38851616E-03
6.46179968E-02  7.65858367E-02  1.43609673E-03
6.49249706E-02  7.57794455E-02  1.40044442E-03
6.52319445E-02  7.58363530E-02  1.45489827E-03
6.55389183E-02  7.88375959E-02  1.42963487E-03
6.58458922E-02  7.69387484E-02  1.44322182E-03
6.61528660E-02  7.65832141E-02  1.41505687E-03
6.64598399E-02  8.00624564E-02  1.44192320E-03
6.67668138E-02  7.57274628E-02  1.42552517E-03
6.70737876E-02  7.68563002E-02  1.39050919E-03
6.73807615E-02  7.72074163E-02  1.41718669E-03
6.76877353E-02  7.59192333E-02  1.39003317E-03
6.79947092E-02  7.61235356E-02  1.39074668E-03
6.83016830E-02  7.61612430E-02  1.42090872E-03
6.86086569E-02  7.84777924E-02  1.39144144E-03
6.89156307E-02  8.11686367E-02  1.42664823E-03
6.92226046E-02  7.85791129E-02  1.40141207E-03
6.95295785E-02  8.22188035E-02  1.41399726E-03
6.98365523E-02  8.09049755E-02  1.43855228E-03
7.01435262E-02  8.30458403E-02  1.42109313E-03
7.04505000E-02  8.85123238E-02  1.46828813E-03
7.07574739E-02  8.86550993E-02  1.45336229E-03
7.10644477E-02  9.54415798E-02  1.52711407E-03
7.13714216E-02  9.72693115E-02  1.54786208E-03
7.16783955E-02  9.73261520E-02  1.50644523E-03
7.19853693E-02  1.00475065E-01  1.57570385E-03
7.22923432E-02  1.04598343E-01  1.57011382E-03
7.25993170E-02  1.04953438E-01  1.59002107E-03
7.29062909E-02  1.11844882E-01  1.59794709E-03
7.32132647E-02  1.16677068E-01  1.64317596E-03
7.35202386E-02  1.17463596E-01  1.68079778E-03
7.38272124E-02  1.26257822E-01  1.70931104E-03
7.41341863E-02  1.35497883E-01  1.76808238E-03
7.44411602E-02  1.37803167E-01  1.76976423E-03
7.47481340E-02  1.44659609E-01  1.82413298E-03
7.50551079E-02  1.50734797E-01  1.88051572E-03
7.53620817E-02  1.61390141E-01  1.89425563E-03
7.56690556E-02  1.74010620E-01  1.97701063E-03
7.59760294E-02  1.85631961E-01  2.02420610E-03
7.62830033E-02  1.96758762E-01  2.10536527E-03
7.65899772E-02  2.13506564E-01  2.21610558E-03
7.68969510E-02  2.31340900E-01  2.21849140E-03
7.72039249E-02  2.52883166E-01  2.37462064E-03
7.75108987E-02  2.82250881E-01  2.48884549E-03
7.78178726E-02  3.11242372E-01  2.61354493E-03
7.81248464E-02  3.52957159E-01  2.80336710E-03
7.84318203E-02  3.99376959E-01  2.88300589E-03
7.87387941E-02  4.54812676E-01  3.18690436E-03
7.90457680E-02  5.33730149E-01  3.34195467E-03
7.93527419E-02  6.15741253E-01  3.68133606E-03
7.96597157E-02  7.13557899E-01  3.88279441E-03
7.99666896E-02  8.25110674E-01  4.13829833E-03
8.02736634E-02  9.52272475E-01  4.55200486E-03
8.05806373E-02  1.09248734E+00  4.77807317E-03
8.08876111E-02  1.23184955E+00  5.11224521E-03
8.11945850E-02  1.35232306E+00  5.28719323E-03
8.15015589E-02  1.47791851E+00  5.45405643E-03
8.18085327E-02  1.57904840E+00  5.74438740E-03
8.21155066E-02  1.66414642E+00  5.87711157E-03
8.24224804E-02  1.71325707E+00  5.89951128E-03
8.27294543E-02  1.70809293E+00  5.90632670E-03
8.30364281E-02  1.66330349E+00  5.81674231E-03
8.33434020E-02  1.59507084E+00  5.74607262E-03
8.36503758E-02  1.47643900E+00  5.38101466E-03
8.39573497E-02  1.35369897E+00  5.24405995E-03
8.42643236E-02  1.23447537E+00  4.92037693E-03
8.45712974E-02  1.12041724E+00  4.77721449E-03
8.48782713E-02  1.03117299E+00  4.56481334E-03
8.51852451E-02  9.31956589E-01  4.22935607E-03
8.54922190E-02  8.43650341E-01  4.09394316E-03
8.57991928E-02  7.73385584E-01  3.87965469E-03
8.61061667E-02  7.00848758E-01  3.73383961E-03
8.64131406E-02  6.43510580E-01  3.52774072E-03
8.67201144E-02  5.76937795E-01  3.32144392E-03
8.70270883E-02  5.20618498E-01  3.19331745E-03
8.73340621E-02  4.69106257E-01  2.98569794E-03
8.76410360E-02  4.23035175E-01  2.85307551E-03
8.79480098E-02  3.84442121E-01  2.69785593E-03
8.82549837E-02  3.51486623E-01  2.56068888E-03
8.85619576E-02  3.13801616E-01  2.46660062E-03
8.88689314E-02  2.81739891E-01  2.31385604E-03
8.91759053E-02  2.61531621E-01  2.20884709E-03
8.94828791E-02  2.33356789E-01  2.07512314E-03
8.97898530E-02  2.18905076E-01  2.03705346E-03
9.00968268E-02  1.95794672E-01  1.89281849E-03
9.04038007E-02  1.86190903E-01  1.84031983E-03
9.07107745E-02  1.73354849E-01  1.79615815E-03
9.10177484E-02  1.61245376E-01  1.72704540E-03
9.13247223E-02  1.52082756E-01  1.68337813E-03
