### DATA:
#
# 2275
#      Q             I(Q)           Error     
2.93160033E-02  4.23295125E-02  1.71246880E-03
2.96229771E-02  4.18993160E-02  1.69091881E-03
2.99299510E-02  3.83001305E-02  1.65431364E-03
3.02369248E-02  4.06750813E-02  1.65367720E-03
3.05438987E-02  3.97338606E-02  1.63443270E-03
3.08508726E-02  3.89099754E-02  1.59784115E-03
3.11578464E-02  3.93237695E-02  1.56545453E-03
3.14648203E-02  4.06095982E-02  1.64829264E-03
3.17717941E-02  3.51037532E-02  1.46904634E-03
3.20787680E-02  3.42717767E-02  1.44182448E-03
3.23857418E-02  3.45466584E-02  1.45082327E-03
3.26927157E-02  3.32559980E-02  1.40783866E-03
3.29996896E-02  3.36091481E-02  1.42151548E-03
3.33066634E-02  2.99920961E-02  1.29788497E-03
3.36136373E-02  3.24422009E-02  1.34708907E-03
3.39206111E-02  2.94002984E-02  1.29302370E-03
3.42275850E-02  3.24847735E-02  1.35353231E-03
3.45345588E-02  2.94512194E-02  1.27567397E-03
3.48415327E-02  2.91787740E-02  1.23523595E-03
3.51485065E-02  2.97238268E-02  1.26627763E-03
3.54554804E-02  3.25862914E-02  1.31293922E-03
3.57624543E-02  3.10137291E-02  1.28335727E-03
3.60694281E-02  2.86709853E-02  1.18641381E-03
3.63764020E-02  3.11888121E-02  1.23964401E-03
3.66833758E-02  2.64964961E-02  1.15093426E-03
3.69903497E-02  2.99006607E-02  1.20083941E-03
3.72973235E-02  2.95216814E-02  1.20824203E-03
3.76042974E-02  2.93035433E-02  1.14324014E-03
3.79112713E-02  2.98644323E-02  1.19172060E-03
3.82182451E-02  2.97737438E-02  1.17967860E-03
3.85252190E-02  3.15066539E-02  1.20733760E-03
3.88321928E-02  3.06297746E-02  1.17459823E-03
3.91391667E-02  3.12215518E-02  1.18006370E-03
3.94461405E-02  2.95638833E-02  1.14643818E-03
3.97531144E-02  2.84222327E-02  1.15457422E-03
4.00600883E-02  2.97003537E-02  1.10001315E-03
4.03670621E-02  3.23597305E-02  1.19360664E-03
4.06740360E-02  3.24407183E-02  1.16007775E-03
4.09810098E-02  3.01293638E-02  1.13715953E-03
4.12879837E-02  3.45197059E-02  1.23679673E-03
4.15949575E-02  3.30413841E-02  1.12867227E-03
4.19019314E-02  3.50238383E-02  1.21277641E-03
4.22089052E-02  3.72736752E-02  1.21963187E-03
4.25158791E-02  3.60120460E-02  1.21673429E-03
4.28228530E-02  3.71829197E-02  1.21993211E-03
4.31298268E-02  4.03750092E-02  1.23894028E-03
4.34368007E-02  4.00408953E-02  1.28299312E-03
4.37437745E-02  4.21999395E-02  1.26663165E-03
