### DATA:
#
# 2275
#      Q             I(Q)           Error     
2.93160033E-02  3.46836671E-02  1.55734259E-03
2.96229771E-02  3.34746502E-02  1.51844101E-03
2.99299510E-02  3.14458385E-02  1.50598260E-03
3.02369248E-02  3.01977303E-02  1.43150962E-03
3.05438987E-02  3.46765146E-02  1.53399876E-03
3.08508726E-02  3.03328335E-02  1.41736027E-03
3.11578464E-02  3.32753547E-02  1.44675456E-03
3.14648203E-02  3.11977454E-02  1.45145040E-03
3.17717941E-02  3.05918399E-02  1.37778721E-03
3.20787680E-02  2.85308920E-02  1.32166804E-03
3.23857418E-02  3.11182179E-02  1.38337351E-03
3.26927157E-02  3.12809832E-02  1.37176178E-03
3.29996896E-02  2.92505454E-02  1.33232586E-03
3.33066634E-02  3.01024150E-02  1.30633358E-03
3.36136373E-02  2.90192831E-02  1.27998565E-03
3.39206111E-02  2.91011669E-02  1.29242823E-03
3.42275850E-02  2.73237210E-02  1.24715152E-03
3.45345588E-02  2.80533861E-02  1.25083874E-03
3.48415327E-02  2.82376055E-02  1.22081814E-03
3.51485065E-02  3.16896439E-02  1.31357799E-03
3.54554804E-02  2.78184693E-02  1.21874921E-03
3.57624543E-02  2.86235586E-02  1.23866252E-03
3.60694281E-02  3.07724886E-02  1.23485748E-03
3.63764020E-02  2.93916427E-02  1.20901060E-03
3.66833758E-02  2.96709295E-02  1.22360850E-03
3.69903497E-02  2.66753975E-02  1.13951648E-03
3.72973235E-02  2.88493372E-02  1.19997433E-03
3.76042974E-02  2.95324754E-02  1.15304941E-03
3.79112713E-02  2.73596607E-02  1.14597008E-03
3.82182451E-02  2.86839418E-02  1.16328744E-03
3.85252190E-02  2.91861240E-02  1.16744498E-03
3.88321928E-02  2.68697497E-02  1.10527384E-03
3.91391667E-02  2.80919746E-02  1.12457899E-03
3.94461405E-02  2.83145998E-02  1.12718646E-03
3.97531144E-02  2.95874011E-02  1.18349609E-03
4.00600883E-02  2.80863978E-02  1.07469608E-03
4.03670621E-02  2.79073399E-02  1.11362408E-03
4.06740360E-02  3.04410327E-02  1.12899544E-03
4.09810098E-02  2.76385192E-02  1.09421951E-03
4.12879837E-02  2.61206329E-02  1.08087948E-03
4.15949575E-02  2.81356499E-02  1.04637607E-03
4.19019314E-02  2.75943354E-02  1.08150730E-03
4.22089052E-02  2.78742164E-02  1.05961866E-03
4.25158791E-02  2.91702580E-02  1.10017718E-03
4.28228530E-02  2.98143532E-02  1.09748146E-03
4.31298268E-02  2.76287887E-02  1.02966418E-03
4.34368007E-02  2.79670060E-02  1.07724883E-03
4.37437745E-02  2.82811839E-02  1.04175077E-03
4.40507484E-02  2.90959831E-02  1.07322144E-03
4.43577222E-02  2.94238869E-02  1.04951533E-03
4.46646961E-02  3.01779918E-02  1.07165193E-03
4.49716700E-02  3.12744193E-02  1.09549519E-03
4.52786438E-02  3.17531675E-02  1.09624106E-03
