### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  3.13729435E-01  9.87665076E-03
1.19839541E-02  3.04070890E-01  9.56784561E-03
1.23035262E-02  2.90523231E-01  9.35227424E-03
1.26230983E-02  2.33923957E-01  7.69137219E-03
1.29426704E-02  2.46839494E-01  8.17815773E-03
1.32622425E-02  2.22918630E-01  7.22483406E-03
1.35818146E-02  2.25728571E-01  7.27022812E-03
1.39013867E-02  2.08154902E-01  7.06931110E-03
1.42209588E-02  1.80391043E-01  6.09833049E-03
1.45405309E-02  1.64303064E-01  6.12747017E-03
1.48601030E-02  1.66466236E-01  5.53658511E-03
1.51796751E-02  1.55903295E-01  5.70038892E-03
1.54992472E-02  1.51734799E-01  5.39166108E-03
1.58188193E-02  1.43049091E-01  5.03556617E-03
1.61383915E-02  1.40239820E-01  5.18341269E-03
1.64579636E-02  1.15964085E-01  4.39245300E-03
1.67775357E-02  1.24375679E-01  4.56905458E-03
1.70971078E-02  1.27061293E-01  4.61812131E-03
1.74166799E-02  1.11113079E-01  4.07360308E-03
1.77362520E-02  1.10509560E-01  4.16203076E-03
1.80558241E-02  9.78749692E-02  3.76442191E-03
1.83753962E-02  1.00164048E-01  3.96242877E-03
1.86949683E-02  1.00681476E-01  3.78919742E-03
1.90145404E-02  8.85122642E-02  3.48787196E-03
1.93341125E-02  8.62643644E-02  3.48134642E-03
1.96536846E-02  8.52875262E-02  3.29494453E-03
1.99732568E-02  8.07850882E-02  3.36897117E-03
2.02928289E-02  1.51070014E-01  4.09345236E-03
2.06124010E-02  1.42981604E-01  4.00585728E-03
2.09319731E-02  1.41127005E-01  3.88881448E-03
2.12515452E-02  1.20878994E-01  3.37735168E-03
2.15711173E-02  1.28414124E-01  3.52514768E-03
2.18906894E-02  1.16823152E-01  3.13118915E-03
2.22102615E-02  1.22076720E-01  3.36899585E-03
2.25298336E-02  1.08011141E-01  3.01078195E-03
2.28494057E-02  1.07648253E-01  3.01239244E-03
2.31689778E-02  9.73585397E-02  2.81519489E-03
2.34885499E-02  9.41467583E-02  2.68334383E-03
2.38081220E-02  9.10098329E-02  2.69311736E-03
2.41276942E-02  8.53126124E-02  2.58049578E-03
2.44472663E-02  6.36632815E-02  2.29129149E-03
2.47668384E-02  5.98385148E-02  2.24097003E-03
2.50864105E-02  5.67318201E-02  2.19174149E-03
2.54059826E-02  5.69011942E-02  2.28336616E-03
2.57255547E-02  5.76102696E-02  2.25966075E-03
2.60451268E-02  5.63839637E-02  2.20478745E-03
2.63646989E-02  5.25451936E-02  2.18370371E-03
2.66842710E-02  5.52405864E-02  2.19735247E-03
2.70038431E-02  4.99281250E-02  2.15455750E-03
2.73234152E-02  5.19573204E-02  2.16113962E-03
2.76429873E-02  5.23811802E-02  2.15467368E-03
2.79625595E-02  6.85209185E-02  2.41955789E-03
2.82821316E-02  6.34609088E-02  2.23948690E-03
2.86017037E-02  6.61930740E-02  2.25454499E-03
2.89212758E-02  6.72784597E-02  2.15022895E-03
2.92408479E-02  6.61695823E-02  2.18036189E-03
2.95604200E-02  6.68097883E-02  2.17447337E-03
2.98799921E-02  6.07872270E-02  2.00083596E-03
3.01995642E-02  6.32021427E-02  2.03666068E-03
3.05191363E-02  6.29200935E-02  1.95577624E-03
3.08387084E-02  6.61272407E-02  2.06546788E-03
3.11582805E-02  6.34314194E-02  1.98611477E-03
3.14778526E-02  6.33493587E-02  1.99136999E-03
3.17974247E-02  6.23876899E-02  1.90813921E-03
3.21169969E-02  6.62140548E-02  1.94495008E-03
3.24365690E-02  6.83882385E-02  2.00708280E-03
3.27561411E-02  6.92049786E-02  1.98540557E-03
3.30757132E-02  6.99175969E-02  1.97205413E-03
3.33952853E-02  7.16852918E-02  1.99976284E-03
3.37148574E-02  7.03801885E-02  1.95575994E-03
3.40344295E-02  7.25514442E-02  2.00299174E-03
3.43540016E-02  7.26061910E-02  1.92406029E-03
3.46735737E-02  7.01279715E-02  1.89604308E-03
3.49931458E-02  6.51179329E-02  1.81726424E-03
3.53127179E-02  6.17615618E-02  1.79642683E-03
3.56322900E-02  5.88040650E-02  1.73857866E-03
3.59518622E-02  5.53499013E-02  1.63860410E-03
3.62714343E-02  5.32392375E-02  1.63445948E-03
3.65910064E-02  4.95662913E-02  1.54668267E-03
3.69105785E-02  4.87453490E-02  1.54766638E-03
3.72301506E-02  4.88832183E-02  1.53209572E-03
3.75497227E-02  4.62806262E-02  1.48140674E-03
3.78692948E-02  4.82124984E-02  1.41924294E-03
3.81888669E-02  4.87981923E-02  1.45037577E-03
3.85084390E-02  4.62333001E-02  1.37474958E-03
3.88280111E-02  4.39205281E-02  1.33276219E-03
3.91475832E-02  4.43110503E-02  1.33300223E-03
3.94671553E-02  4.13724482E-02  1.30896631E-03
3.97867274E-02  4.10209522E-02  1.29914656E-03
4.01062996E-02  4.25309874E-02  1.28704624E-03
4.04258717E-02  4.32989635E-02  1.29728345E-03
4.07454438E-02  4.19942699E-02  1.26216526E-03
4.10650159E-02  4.18210924E-02  1.26847124E-03
4.13845880E-02  3.74166146E-02  1.17734517E-03
4.17041601E-02  3.78250107E-02  1.17915636E-03
4.20237322E-02  3.93250249E-02  1.21533405E-03
4.23433043E-02  4.03567515E-02  1.21680181E-03
4.26628764E-02  3.95622328E-02  1.20945275E-03
4.29824485E-02  3.71794440E-02  1.13028835E-03
4.33020206E-02  3.84383649E-02  1.17509509E-03
4.36215927E-02  3.78654711E-02  1.15114416E-03
4.39411649E-02  3.73147279E-02  1.13440119E-03
4.42607370E-02  3.81098576E-02  1.15272903E-03
4.45803091E-02  3.67880352E-02  1.11427740E-03
4.48998812E-02  3.89391705E-02  1.14132720E-03
4.52194533E-02  3.64791565E-02  1.11157028E-03
4.55390254E-02  3.69872525E-02  1.11928512E-03
4.58585975E-02  3.71066593E-02  1.10926887E-03
4.61781696E-02  3.77067849E-02  1.11046492E-03
4.64977417E-02  3.93871926E-02  1.13986351E-03
4.68173138E-02  3.96994501E-02  1.14938163E-03
4.71368859E-02  3.84092070E-02  1.10100699E-03
4.74564580E-02  3.68982702E-02  1.09379238E-03
4.77760301E-02  3.73581611E-02  1.09498715E-03
4.80956023E-02  3.95923443E-02  1.13399036E-03
4.84151744E-02  3.94949391E-02  1.13259512E-03
4.87347465E-02  3.86155955E-02  1.09221402E-03
4.90543186E-02  4.00294550E-02  1.12680823E-03
4.93738907E-02  3.98798585E-02  1.11817569E-03
4.96934628E-02  4.01564017E-02  1.12859451E-03
5.00130349E-02  3.99866961E-02  1.09810475E-03
5.03326070E-02  4.00334150E-02  1.11118215E-03
5.06521791E-02  4.15862724E-02  1.13902939E-03
5.09717512E-02  4.46216762E-02  1.17793120E-03
5.12913233E-02  4.15873751E-02  1.11107260E-03
5.16108954E-02  4.30796668E-02  1.13171781E-03
5.19304676E-02  4.26243693E-02  1.14657893E-03
5.22500397E-02  4.34038155E-02  1.15141226E-03
5.25696118E-02  4.30203266E-02  1.13093958E-03
5.28891839E-02  4.68350761E-02  1.17087690E-03
5.32087560E-02  4.42105532E-02  1.13584648E-03
5.35283281E-02  4.63048257E-02  1.16603181E-03
5.38479002E-02  4.70353588E-02  1.18069025E-03
5.41674723E-02  4.98954393E-02  1.19477918E-03
5.44870444E-02  4.57435772E-02  1.16527604E-03
5.48066165E-02  4.82803807E-02  1.17617170E-03
5.51261886E-02  4.90015298E-02  1.19765545E-03
5.54457607E-02  4.73499969E-02  1.15867530E-03
5.57653328E-02  4.67405096E-02  1.13933487E-03
5.60849050E-02  4.95028719E-02  1.19640585E-03
5.64044771E-02  4.95598949E-02  1.18100212E-03
5.67240492E-02  4.95461039E-02  1.18880230E-03
5.70436213E-02  4.88854945E-02  1.15674944E-03
5.73631934E-02  4.99974824E-02  1.18974200E-03
5.76827655E-02  5.22538647E-02  1.20642956E-03
5.80023376E-02  5.10503761E-02  1.17364933E-03
5.83219097E-02  5.07513434E-02  1.19423191E-03
5.86414818E-02  5.18385172E-02  1.17270905E-03
5.89610539E-02  5.37488461E-02  1.21468259E-03
5.92806260E-02  5.52087128E-02  1.22929097E-03
5.96001981E-02  5.76113723E-02  1.25035469E-03
5.99197703E-02  5.88900447E-02  1.24818599E-03
6.02393424E-02  6.17663264E-02  1.27387105E-03
6.05589145E-02  6.29087463E-02  1.29550509E-03
6.08784866E-02  6.44772574E-02  1.32276688E-03
6.11980587E-02  6.64947033E-02  1.31627521E-03
6.15176308E-02  7.13711679E-02  1.37506751E-03
6.18372029E-02  7.14779347E-02  1.35177188E-03
6.21567750E-02  7.60569796E-02  1.40581350E-03
6.24763471E-02  7.84843564E-02  1.43101509E-03
6.27959192E-02  8.08191150E-02  1.45015144E-03
6.31154913E-02  8.68977681E-02  1.49248086E-03
6.34350634E-02  8.98835957E-02  1.51996152E-03
6.37546355E-02  9.52885672E-02  1.57787616E-03
6.40742077E-02  1.04328945E-01  1.59901672E-03
6.43937798E-02  1.07805856E-01  1.66012405E-03
6.47133519E-02  1.16848692E-01  1.71910680E-03
6.50329240E-02  1.22042790E-01  1.74186949E-03
6.53524961E-02  1.37232736E-01  1.86802004E-03
6.56720682E-02  1.44707814E-01  1.86521898E-03
6.59916403E-02  1.61590859E-01  2.02162378E-03
6.63112124E-02  1.80954799E-01  2.12520640E-03
6.66307845E-02  1.96601987E-01  2.19506095E-03
6.69503566E-02  2.12740511E-01  2.27312301E-03
6.72699287E-02  2.33525604E-01  2.37550563E-03
6.75895008E-02  2.65299141E-01  2.54660123E-03
6.79090730E-02  2.91610330E-01  2.69963290E-03
6.82286451E-02  3.12839627E-01  2.70504714E-03
6.85482172E-02  3.46253961E-01  2.87796464E-03
6.88677893E-02  3.67372513E-01  2.97382334E-03
6.91873614E-02  3.97869945E-01  3.10466602E-03
6.95069335E-02  4.20819819E-01  3.13156447E-03
6.98265056E-02  4.12249148E-01  3.10524018E-03
7.01460777E-02  4.14071351E-01  3.15919355E-03
7.04656498E-02  3.84606570E-01  2.97377189E-03
7.07852219E-02  3.75964552E-01  2.98950006E-03
7.11047940E-02  3.35253358E-01  2.74337409E-03
7.14243661E-02  3.09380651E-01  2.71700299E-03
7.17439382E-02  2.80422032E-01  2.55478686E-03
7.20635104E-02  2.48044789E-01  2.38240417E-03
7.23830825E-02  2.27123827E-01  2.29499978E-03
7.27026546E-02  2.01251656E-01  2.12303060E-03
7.30222267E-02  1.85139090E-01  2.07459112E-03
7.33417988E-02  1.72232047E-01  1.96749927E-03
7.36613709E-02  1.60072863E-01  1.89677894E-03
7.39809430E-02  1.48486376E-01  1.83009938E-03
7.43005151E-02  1.38173193E-01  1.73572905E-03
7.46200872E-02  1.28258005E-01  1.71729620E-03
7.49396593E-02  1.21919848E-01  1.63610280E-03
7.52592314E-02  1.15508951E-01  1.59250747E-03
7.55788035E-02  1.12948135E-01  1.58767239E-03
7.58983757E-02  1.03604175E-01  1.50214089E-03
7.62179478E-02  1.05837487E-01  1.54692831E-03
7.65375199E-02  1.00934215E-01  1.47842348E-03
7.68570920E-02  9.79894102E-02  1.45173480E-03
7.71766641E-02  9.52391997E-02  1.43611140E-03
7.74962362E-02  9.17954296E-02  1.40510523E-03
7.78158083E-02  8.96301940E-02  1.40201300E-03
7.81353804E-02  8.75406638E-02  1.35987811E-03
7.84549525E-02  8.80795792E-02  1.38029316E-03
7.87745246E-02  8.85051489E-02  1.38204964E-03
7.90940967E-02  8.38176832E-02  1.32843270E-03
7.94136688E-02  8.50280598E-02  1.33873406E-03
7.97332409E-02  8.04010034E-02  1.28827244E-03
8.00528131E-02  8.16354677E-02  1.31910539E-03
8.03723852E-02  8.07665214E-02  1.30986131E-03
8.06919573E-02  7.95199648E-02  1.28964486E-03
8.10115294E-02  7.83065110E-02  1.27416127E-03
8.13311015E-02  8.03141817E-02  1.28688139E-03
8.16506736E-02  8.51282626E-02  1.32705469E-03
8.19702457E-02  8.18684474E-02  1.31144875E-03
8.22898178E-02  8.01342428E-02  1.25903275E-03
