### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  1.27207696E+00  1.95150655E-02
1.19839541E-02  1.18792212E+00  1.85567532E-02
1.23035262E-02  1.09197259E+00  1.77915562E-02
1.26230983E-02  1.04363263E+00  1.59412194E-02
1.29426704E-02  9.32423830E-01  1.55968210E-02
1.32622425E-02  8.76142442E-01  1.40547566E-02
1.35818146E-02  8.27443063E-01  1.36585655E-02
1.39013867E-02  7.89674163E-01  1.35110468E-02
1.42209588E-02  7.31090546E-01  1.20467618E-02
1.45405309E-02  6.60966158E-01  1.20594986E-02
1.48601030E-02  6.30140960E-01  1.05700977E-02
1.51796751E-02  5.80382764E-01  1.07923336E-02
1.54992472E-02  5.41046500E-01  9.99030098E-03
1.58188193E-02  5.13907373E-01  9.36546735E-03
1.61383915E-02  4.91793662E-01  9.52473376E-03
1.64579636E-02  4.51273769E-01  8.50250106E-03
1.67775357E-02  4.34904099E-01  8.38371739E-03
1.70971078E-02  3.95631939E-01  7.99623691E-03
1.74166799E-02  3.77471447E-01  7.36748800E-03
1.77362520E-02  3.71587694E-01  7.48888729E-03
1.80558241E-02  3.46986353E-01  6.95504481E-03
1.83753962E-02  3.45024377E-01  7.21625146E-03
1.86949683E-02  3.14992964E-01  6.57664100E-03
1.90145404E-02  3.08873743E-01  6.39338046E-03
1.93341125E-02  2.89223313E-01  6.25503063E-03
1.96536846E-02  2.72588819E-01  5.78017021E-03
1.99732568E-02  2.64602989E-01  5.98288048E-03
2.02928289E-02  2.55781561E-01  5.22656646E-03
2.06124010E-02  2.44328350E-01  5.13834879E-03
2.09319731E-02  2.40301430E-01  4.97933803E-03
2.12515452E-02  2.16515154E-01  4.43533342E-03
2.15711173E-02  2.13000506E-01  4.45494661E-03
2.18906894E-02  2.11554304E-01  4.13463358E-03
2.22102615E-02  2.05721974E-01  4.29146597E-03
2.25298336E-02  1.92807078E-01  3.94718768E-03
2.28494057E-02  1.76294371E-01  3.78275779E-03
2.31689778E-02  1.84349820E-01  3.80122941E-03
2.34885499E-02  1.70622334E-01  3.54464585E-03
2.38081220E-02  1.69427469E-01  3.60565586E-03
2.41276942E-02  1.61883026E-01  3.48801585E-03
2.44472663E-02  1.52135208E-01  3.47561762E-03
2.47668384E-02  1.46827951E-01  3.44454031E-03
2.50864105E-02  1.40230626E-01  3.38126067E-03
2.54059826E-02  1.35866702E-01  3.46220401E-03
2.57255547E-02  1.32019892E-01  3.35655874E-03
2.60451268E-02  1.29913628E-01  3.28395772E-03
2.63646989E-02  1.25828624E-01  3.31587554E-03
2.66842710E-02  1.21189840E-01  3.19363270E-03
2.70038431E-02  1.23004280E-01  3.31838569E-03
2.73234152E-02  1.16932914E-01  3.18133272E-03
2.76429873E-02  1.16061784E-01  3.14716692E-03
2.79625595E-02  1.06696784E-01  2.96265678E-03
2.82821316E-02  1.09728277E-01  2.88958801E-03
2.86017037E-02  1.06101051E-01  2.80087511E-03
2.89212758E-02  1.10370226E-01  2.70242663E-03
2.92408479E-02  9.87846553E-02  2.61411909E-03
2.95604200E-02  1.01875991E-01  2.63482169E-03
2.98799921E-02  9.75914523E-02  2.48766830E-03
3.01995642E-02  9.54844207E-02  2.45640683E-03
3.05191363E-02  9.45916697E-02  2.35305564E-03
3.08387084E-02  9.17486176E-02  2.38731271E-03
3.11582805E-02  8.92181173E-02  2.31131911E-03
3.14778526E-02  8.78783166E-02  2.30145757E-03
3.17974247E-02  8.94595683E-02  2.24210136E-03
3.21169969E-02  8.44929516E-02  2.15588138E-03
3.24365690E-02  8.59826729E-02  2.20831647E-03
3.27561411E-02  7.76032805E-02  2.06301245E-03
3.30757132E-02  8.29593092E-02  2.10784865E-03
3.33952853E-02  8.41702148E-02  2.12629698E-03
3.37148574E-02  7.93309063E-02  2.03747745E-03
3.40344295E-02  8.14108402E-02  2.08198931E-03
3.43540016E-02  7.94336870E-02  1.97476521E-03
3.46735737E-02  7.79381022E-02  1.96136651E-03
3.49931458E-02  7.57373124E-02  1.92310940E-03
3.53127179E-02  7.56678134E-02  1.95113476E-03
3.56322900E-02  7.24577680E-02  1.89371407E-03
3.59518622E-02  7.14169368E-02  1.82640669E-03
3.62714343E-02  7.63854906E-02  1.92107761E-03
3.65910064E-02  7.31447637E-02  1.84366025E-03
3.69105785E-02  7.53229111E-02  1.88779831E-03
3.72301506E-02  7.61496946E-02  1.87638239E-03
3.75497227E-02  7.67958835E-02  1.87251344E-03
3.78692948E-02  8.27466995E-02  1.82445650E-03
3.81888669E-02  8.99868682E-02  1.93263346E-03
3.85084390E-02  9.50149819E-02  1.93385303E-03
3.88280111E-02  1.17444210E-01  2.13853293E-03
3.91475832E-02  1.45602494E-01  2.37104902E-03
3.94671553E-02  1.85342222E-01  2.71857483E-03
3.97867274E-02  2.29536414E-01  3.01552098E-03
4.01062996E-02  2.71471322E-01  3.19069042E-03
