ser	comp	temp	hii	la	lb	press_min	press_max	remarks
1	18:0/20:4 PE	20	FALSE	TRUE	FALSE	0	900	
1	18:0/20:4 PE	20	FALSE	TRUE	TRUE	1000	1300	
1	18:0/20:4 PE	20	FALSE	FALSE	TRUE	1300	2000	
2	18:0/20:4 PE	4	FALSE	TRUE	FALSE	0	2000	weird, invariant
3	18:0/20:4 PE	20	FALSE	TRUE	FALSE	0	600	
3	18:0/20:4 PE	20	FALSE	TRUE	TRUE	700	1500	
3	18:0/20:4 PE	20	FALSE	FALSE	TRUE	2000	2000	
4	18:0/20:4 PE-PPE 50-50	20	FALSE	TRUE	FALSE	0	400	
4	18:0/20:4 PE-PPE 50-50	20	FALSE	TRUE	TRUE	500	1500	
4	18:0/20:4 PE-PPE 50-50	20	FALSE	FALSE	TRUE	2000	2000	
5	18:0/18:1 PE	60	TRUE	TRUE	FALSE	0	200	
5	18:0/18:1 PE	60	FALSE	TRUE	FALSE	300	800	
5	18:0/18:1 PE	60	FALSE	TRUE	TRUE	900	1500	
5	18:0/18:1 PE	60	FALSE	FALSE	TRUE	2000	2000	
6	18:0/18:1 PPE	60	TRUE	FALSE	FALSE	0	200	
6	18:0/18:1 PPE	60	TRUE	TRUE	FALSE	300	1000	
6	18:0/18:1 PPE	60	FALSE	TRUE	FALSE	1100	1100	
6	18:0/18:1 PPE	60	FALSE	TRUE	TRUE	1200	1900	
6	18:0/18:1 PPE	60	FALSE	FALSE	TRUE	2000	2000	
8	18:0/20:4 PE-PPE 50-50	4	FALSE	TRUE	FALSE	0	100	
8	18:0/20:4 PE-PPE 50-50	4	FALSE	TRUE	TRUE	200	2000	
9	18:0/20:4 PPE	4	TRUE	FALSE	FALSE	0	0	actually mixed
9	18:0/20:4 PPE	4	TRUE	TRUE	FALSE	100	300	
9	18:0/20:4 PPE	4	FALSE	TRUE	FALSE	400	500	
9	18:0/20:4 PPE	4	FALSE	TRUE	TRUE	600	1500	
9	18:0/20:4 PPE	4	FALSE	FALSE	TRUE	2000	2000	actually mixed
10	18:0/20:4 PPE	20	TRUE	FALSE	FALSE	0	0	
10	18:0/20:4 PPE	20	TRUE	TRUE	FALSE	100	900	
10	18:0/20:4 PPE	20	FALSE	TRUE	FALSE	1000	1000	
10	18:0/20:4 PPE	20	FALSE	TRUE	TRUE	1500	1500	
10	18:0/20:4 PPE	20	FALSE	FALSE	TRUE	2000	2000	
