Lattice_constant:	79.3227 +- 0.4221
Lattice_size:	6.0814 +- 1.9821
Intrinsic_curvature:	-0.0392 +- 0.0015
Lipid_Volume:	1151.0713 +- 27.0787
Lipid_Volume_lam:	1150.278 +- 20.7905
r_waterCore:	18.6425 +- 1.5318
Polydispersity:	0.1451 +- 0.0186
Displacement:	4.3955 +- 4.4606
Multiplicative:	0.2195 +- 0.0926
Additive:	0.023 +- 0.0032
Scaling:	2.1892 +- 1.8078
ScalingBi:	5.2833 +- 0.6845
Head_Area_lam:	70.4486 +- 7.2483

scaled chi^2:	19.730271160224397
Head Area at neutral plane (from histogram):	60.4636 +- 5.8991
Head Area at interface (from histogram):	65.3003 +- 6.2083
d_head 0:	4.8792 +- 2.0749
C_0tot 0:	-0.0392 +- 0.0015
d_backbone averaged:	4.100000000000001
chi^2:	42.44286292943475
